xflr5 v6.40

Plane name :        eGenius_40kg
Polar name :        T1-26.0 m/s-VLM2-b10.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000    10.000   0.316314   0.005522   0.010979   0.016502  -0.045144  -0.003121   0.060860   0.013717   0.013897   26.0000     0.0393
   -1.500    10.000   0.366227   0.006185   0.011008   0.017193  -0.045312  -0.002890   0.041004   0.013698   0.013876   26.0000     0.0641
   -1.000    10.000   0.416162   0.006955   0.011055   0.018010  -0.045609  -0.002663   0.020912   0.013677   0.013855   26.0000     0.0833
   -0.500    10.000   0.466098   0.007847   0.011080   0.018927  -0.046029  -0.002438   0.000642   0.013656   0.013834   26.0000     0.0986
    0.000    10.000   0.516011   0.008876   0.011090   0.019966  -0.046567  -0.002216  -0.019747   0.013634   0.013811   26.0000     0.1111
    0.500    10.000   0.565873   0.010036   0.011111   0.021148  -0.047221  -0.001996  -0.040207   0.013608   0.013785   26.0000     0.1216
    1.000    10.000   0.615664   0.011312   0.011137   0.022449  -0.047993  -0.001778  -0.060694   0.013579   0.013756   26.0000     0.1305
    1.500    10.000   0.665367   0.012700   0.011189   0.023889  -0.048881  -0.001563  -0.081165   0.013546   0.013724   26.0000     0.1382
    2.000    10.000   0.714972   0.014199   0.011294   0.025493  -0.049927  -0.001347  -0.101597   0.013522   0.013701   26.0000     0.1449
    2.500    10.000   0.764463   0.015810   0.011539   0.027348  -0.051140  -0.001131  -0.121950   0.013504   0.013692   26.0000     0.1508
    3.000    10.000   0.813809   0.017538   0.012074   0.029612  -0.052376  -0.000920  -0.142141   0.013452   0.013650   26.0000     0.1560
    3.500    10.000   0.863004   0.019381   0.012780   0.032161  -0.053733  -0.000710  -0.162188   0.013414   0.013606   26.0000     0.1607
    4.000    10.000   0.912032   0.021338   0.013604   0.034942  -0.055207  -0.000501  -0.182068   0.013376   0.013560   26.0000     0.1650
    4.500    10.000   0.960876   0.023405   0.014493   0.037897  -0.056799  -0.000294  -0.201749   0.013336   0.013512   26.0000     0.1689
    5.000    10.000   1.009524   0.025573   0.015379   0.040953  -0.058509  -0.000087  -0.221209   0.013297   0.013461   26.0000     0.1724
    5.500    10.000   1.057964   0.027845   0.016306   0.044151  -0.060338   0.000118  -0.240415   0.013254   0.013408   26.0000     0.1757
    6.000    10.000   1.106183   0.030226   0.017256   0.047482  -0.062284   0.000323  -0.259344   0.013203   0.013353   26.0000     0.1787
    6.500    10.000   1.154165   0.032715   0.018281   0.050996  -0.064348   0.000527  -0.277965   0.013150   0.013297   26.0000     0.1815
    7.000    10.000   1.201895   0.035311   0.019425   0.054736  -0.066535   0.000731  -0.296259   0.013098   0.013240   26.0000     0.1841
    7.500    10.000   1.249360   0.038011   0.020785   0.058795  -0.068859   0.000935  -0.314209   0.013053   0.013188   26.0000     0.1865
    8.000    10.000   1.296519   0.040816   0.022489   0.063305  -0.071123   0.001126  -0.331740   0.012947   0.013078   26.0000     0.1888
    8.500    10.000   1.343394   0.043713   0.024775   0.068488  -0.073641   0.001326  -0.348897   0.012886   0.013011   26.0000     0.1910


