xflr5 v6.40

Plane name :        eGenius_40kg
Polar name :        T1-26.0 m/s-VLM2
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.321439   0.002723   0.010838   0.013561   0.000000  -0.000000   0.080142  -0.000000  -0.000000   26.0000     0.0252
   -1.500     0.000   0.373347   0.003401   0.010859   0.014260   0.000000  -0.000000   0.057755  -0.000000  -0.000000   26.0000     0.0539
   -1.000     0.000   0.425217   0.004201   0.010901   0.015102   0.000000  -0.000000   0.035425  -0.000000  -0.000000   26.0000     0.0756
   -0.500     0.000   0.477041   0.005123   0.010914   0.016037   0.000000  -0.000000   0.013158  -0.000000  -0.000000   26.0000     0.0926
    0.000     0.000   0.528813   0.006166   0.010922   0.017088   0.000000  -0.000000  -0.009038  -0.000000  -0.000000   26.0000     0.1063
    0.500     0.000   0.580526   0.007329   0.010948   0.018277   0.000000  -0.000000  -0.031153  -0.000000  -0.000000   26.0000     0.1176
    1.000     0.000   0.632172   0.008612   0.010978   0.019590   0.000000  -0.000000  -0.053185  -0.000000  -0.000000   26.0000     0.1270
    1.500     0.000   0.683744   0.010014   0.011048   0.021062   0.000000  -0.000000  -0.075123  -0.000000  -0.000000   26.0000     0.1350
    2.000     0.000   0.735235   0.011534   0.011192   0.022726   0.000000  -0.000000  -0.096955  -0.000000  -0.000000   26.0000     0.1418
    2.500     0.000   0.786639   0.013172   0.011576   0.024748   0.000000  -0.000000  -0.118667  -0.000000  -0.000000   26.0000     0.1478
    3.000     0.000   0.837948   0.014926   0.012250   0.027176   0.000000  -0.000000  -0.140248  -0.000000  -0.000000   26.0000     0.1531
    3.500     0.000   0.889155   0.016795   0.013055   0.029850   0.000000  -0.000000  -0.161712  -0.000000  -0.000000   26.0000     0.1577
    4.000     0.000   0.940253   0.018779   0.013971   0.032749   0.000000  -0.000000  -0.183048  -0.000000  -0.000000   26.0000     0.1619
    4.500     0.000   0.991236   0.020875   0.014892   0.035767   0.000000  -0.000000  -0.204260  -0.000000  -0.000000   26.0000     0.1656
    5.000     0.000   1.042097   0.023083   0.015834   0.038917   0.000000  -0.000000  -0.225338  -0.000000  -0.000000   26.0000     0.1690
    5.500     0.000   1.092828   0.025401   0.016798   0.042198   0.000000  -0.000000  -0.246280  -0.000000  -0.000000   26.0000     0.1721
    6.000     0.000   1.143423   0.027827   0.017802   0.045629   0.000000  -0.000000  -0.267075  -0.000000  -0.000000   26.0000     0.1749
    6.500     0.000   1.193875   0.030360   0.018937   0.049297   0.000000  -0.000000  -0.287701  -0.000000  -0.000000   26.0000     0.1775
    7.000     0.000   1.244178   0.032999   0.020232   0.053231   0.000000  -0.000000  -0.308157  -0.000000  -0.000000   26.0000     0.1799
    7.500     0.000   1.294325   0.035741   0.021810   0.057551   0.000000  -0.000000  -0.328441  -0.000000  -0.000000   26.0000     0.1821
    8.000     0.000   1.344309   0.038584   0.023909   0.062494   0.000000  -0.000000  -0.348510  -0.000000  -0.000000   26.0000     0.1841
    8.500     0.000   1.394124   0.041528   0.027107   0.068634   0.000000  -0.000000  -0.368303  -0.000000  -0.000000   26.0000     0.1860


