xflr5 v6.40

Plane name :        eGenius_40kg
Polar name :        T1-22.0 m/s-VLM2
Freestream speed :  22.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.321439   0.002723   0.012262   0.014985   0.000000  -0.000000   0.080326  -0.000000  -0.000000   22.0000     0.0252
   -1.500     0.000   0.373347   0.003401   0.012249   0.015650   0.000000  -0.000000   0.057958  -0.000000  -0.000000   22.0000     0.0539
   -1.000     0.000   0.425217   0.004201   0.012208   0.016410   0.000000  -0.000000   0.035644  -0.000000  -0.000000   22.0000     0.0756
   -0.500     0.000   0.477041   0.005123   0.012210   0.017333   0.000000  -0.000000   0.013397  -0.000000  -0.000000   22.0000     0.0926
    0.000     0.000   0.528813   0.006166   0.012217   0.018383   0.000000  -0.000000  -0.008779  -0.000000  -0.000000   22.0000     0.1063
    0.500     0.000   0.580526   0.007329   0.012210   0.019539   0.000000  -0.000000  -0.030874  -0.000000  -0.000000   22.0000     0.1176
    1.000     0.000   0.632172   0.008612   0.012195   0.020807   0.000000  -0.000000  -0.052889  -0.000000  -0.000000   22.0000     0.1270
    1.500     0.000   0.683744   0.010014   0.012191   0.022205   0.000000  -0.000000  -0.074810  -0.000000  -0.000000   22.0000     0.1350
    2.000     0.000   0.735235   0.011534   0.012270   0.023805   0.000000  -0.000000  -0.096620  -0.000000  -0.000000   22.0000     0.1418
    2.500     0.000   0.786639   0.013172   0.012542   0.025714   0.000000  -0.000000  -0.118319  -0.000000  -0.000000   22.0000     0.1478
    3.000     0.000   0.837948   0.014926   0.013202   0.028128   0.000000  -0.000000  -0.139875  -0.000000  -0.000000   22.0000     0.1531
    3.500     0.000   0.889155   0.016795   0.014045   0.030840   0.000000  -0.000000  -0.161308  -0.000000  -0.000000   22.0000     0.1577
    4.000     0.000   0.940253   0.018779   0.015013   0.033792   0.000000  -0.000000  -0.182614  -0.000000  -0.000000   22.0000     0.1619
    4.500     0.000   0.991236   0.020875   0.016023   0.036898   0.000000  -0.000000  -0.203793  -0.000000  -0.000000   22.0000     0.1656
    5.000     0.000   1.042097   0.023083   0.017084   0.040167   0.000000  -0.000000  -0.224838  -0.000000  -0.000000   22.0000     0.1690
    5.500     0.000   1.092828   0.025401   0.018185   0.043586   0.000000  -0.000000  -0.245751  -0.000000  -0.000000   22.0000     0.1721
    6.000     0.000   1.143423   0.027827   0.019272   0.047099   0.000000  -0.000000  -0.266529  -0.000000  -0.000000   22.0000     0.1749
    6.500     0.000   1.193875   0.030360   0.020576   0.050937   0.000000  -0.000000  -0.287128  -0.000000  -0.000000   22.0000     0.1775
    7.000     0.000   1.244178   0.032999   0.022032   0.055030   0.000000  -0.000000  -0.307563  -0.000000  -0.000000   22.0000     0.1799
    7.500     0.000   1.294325   0.035741   0.023911   0.059652   0.000000  -0.000000  -0.327820  -0.000000  -0.000000   22.0000     0.1821
    8.000     0.000   1.344309   0.038584   0.026495   0.065080   0.000000  -0.000000  -0.347861  -0.000000  -0.000000   22.0000     0.1841
    8.500     0.000   1.394124   0.041528   0.030950   0.072478   0.000000  -0.000000  -0.367559  -0.000000  -0.000000   22.0000     0.1860


