xflr5 v6.40

Plane name :        eGenius_40kg
Polar name :        T1-26.0 m/s-VLM2-b15.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000    15.000   0.301759   0.009051   0.011469   0.020520  -0.067650  -0.004334   0.081376   0.020078   0.020394   26.0000     0.0134
   -1.500    15.000   0.350228   0.009787   0.011541   0.021328  -0.067903  -0.004033   0.059311   0.020067   0.020373   26.0000     0.0444
   -1.000    15.000   0.398673   0.010672   0.011579   0.022251  -0.068322  -0.003732   0.037390   0.020039   0.020348   26.0000     0.0678
   -0.500    15.000   0.447080   0.011602   0.011621   0.023222  -0.068935  -0.003430   0.015609   0.020012   0.020321   26.0000     0.0862
    0.000    15.000   0.495406   0.012541   0.011638   0.024179  -0.069751  -0.003128  -0.006029   0.019982   0.020290   26.0000     0.1010
    0.500    15.000   0.543626   0.013573   0.011655   0.025228  -0.070745  -0.002826  -0.027517   0.019948   0.020256   26.0000     0.1132
    1.000    15.000   0.591738   0.014744   0.011682   0.026426  -0.071907  -0.002525  -0.048845   0.019910   0.020218   26.0000     0.1234
    1.500    15.000   0.639736   0.016055   0.011720   0.027775  -0.073236  -0.002223  -0.070002   0.019869   0.020178   26.0000     0.1322
    2.000    15.000   0.687611   0.017494   0.011789   0.029283  -0.074725  -0.001923  -0.090971   0.019820   0.020131   26.0000     0.1397
    2.500    15.000   0.735345   0.019040   0.011932   0.030972  -0.076329  -0.001624  -0.111720   0.019749   0.020064   26.0000     0.1463
    3.000    15.000   0.782936   0.020699   0.012265   0.032965  -0.078151  -0.001326  -0.132263   0.019676   0.020007   26.0000     0.1521
    3.500    15.000   0.830365   0.022454   0.012822   0.035276  -0.080148  -0.001027  -0.152568   0.019609   0.019947   26.0000     0.1573
    4.000    15.000   0.877612   0.024309   0.013528   0.037836  -0.082318  -0.000730  -0.172629   0.019556   0.019882   26.0000     0.1620
    4.500    15.000   0.924666   0.026297   0.014330   0.040627  -0.084650  -0.000434  -0.192433   0.019499   0.019814   26.0000     0.1662
    5.000    15.000   0.971529   0.028439   0.015172   0.043611  -0.087140  -0.000138  -0.211962   0.019441   0.019742   26.0000     0.1700
    5.500    15.000   1.018193   0.030698   0.016039   0.046737  -0.089797   0.000157  -0.231193   0.019382   0.019666   26.0000     0.1735
    6.000    15.000   1.064642   0.033047   0.016922   0.049968  -0.092629   0.000451  -0.250111   0.019316   0.019588   26.0000     0.1767
    6.500    15.000   1.110859   0.035481   0.017841   0.053323  -0.095638   0.000745  -0.268698   0.019242   0.019506   26.0000     0.1797
    7.000    15.000   1.156827   0.038003   0.018842   0.056845  -0.098818   0.001037  -0.286931   0.019161   0.019421   26.0000     0.1824
    7.500    15.000   1.202530   0.040608   0.019958   0.060566  -0.102147   0.001328  -0.304789   0.019068   0.019324   26.0000     0.1850
    8.000    15.000   1.247963   0.043294   0.021260   0.064553  -0.105726   0.001622  -0.322290   0.018995   0.019241   26.0000     0.1874
    8.500    15.000   1.293042   0.045890   0.022871   0.068761  -0.109003   0.001881  -0.339207   0.018781   0.019023   26.0000     0.1896
    9.000    15.000   1.337864   0.048493   0.025065   0.073558  -0.112929   0.002169  -0.355854   0.018679   0.018923   26.0000     0.1918


