xflr5 v6.58

Plane name :        FunCub(Wing-Elevator-Fin)
Polar name :        T1-10.0 m/s-VLM2
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.060445   0.000629   0.020806   0.021435  -0.000036  -0.000001   0.021164   0.000000   0.000001   10.0000     0.1529
   -2.500     0.000  -0.016428   0.000579   0.020081   0.020660  -0.000036  -0.000001   0.017034   0.000000   0.000001   10.0000     0.2396
   -2.000     0.000   0.027596   0.000654   0.019289   0.019942  -0.000036  -0.000001   0.012633   0.000001   0.000001   10.0000     0.0496
   -1.500     0.000   0.071620   0.000852   0.018399   0.019251  -0.000036  -0.000001   0.007954   0.000001   0.000001   10.0000     0.0932
   -1.000     0.000   0.115637   0.001174   0.016378   0.017552  -0.000036  -0.000001   0.002686   0.000001   0.000001   10.0000     0.1036
   -0.500     0.000   0.159641   0.001620   0.015608   0.017229  -0.000036  -0.000001  -0.002455   0.000001   0.000001   10.0000     0.1083
    0.000     0.000   0.203624   0.002190   0.015280   0.017470  -0.000037  -0.000001  -0.007708   0.000001   0.000001   10.0000     0.1109
    0.500     0.000   0.247581   0.002883   0.015033   0.017916  -0.000037  -0.000001  -0.013180   0.000001   0.000001   10.0000     0.1127
    1.000     0.000   0.291505   0.003699   0.014772   0.018471  -0.000037  -0.000001  -0.018897   0.000001   0.000001   10.0000     0.1139
    1.500     0.000   0.335389   0.004637   0.014571   0.019208  -0.000037  -0.000001  -0.024836   0.000001   0.000001   10.0000     0.1148
    2.000     0.000   0.379227   0.005698   0.014480   0.020178  -0.000037  -0.000001  -0.030979   0.000001   0.000001   10.0000     0.1155
    2.500     0.000   0.423013   0.006879   0.014495   0.021374  -0.000037  -0.000001  -0.037325   0.000001   0.000001   10.0000     0.1160
    3.000     0.000   0.466739   0.008182   0.014616   0.022798  -0.000037  -0.000001  -0.043871   0.000001   0.000001   10.0000     0.1165
    3.500     0.000   0.510399   0.009603   0.014833   0.024436  -0.000037  -0.000001  -0.050620   0.000001   0.000001   10.0000     0.1169
    4.000     0.000   0.553987   0.011144   0.015128   0.026272  -0.000038  -0.000001  -0.057574   0.000001   0.000001   10.0000     0.1172
    4.500     0.000   0.597496   0.012802   0.015485   0.028287  -0.000038  -0.000001  -0.064737   0.000001   0.000001   10.0000     0.1175
    5.000     0.000   0.640920   0.014576   0.015876   0.030452  -0.000038  -0.000001  -0.072114   0.000001   0.000001   10.0000     0.1177
    5.500     0.000   0.684253   0.016466   0.016300   0.032766  -0.000038  -0.000001  -0.079705   0.000001   0.000001   10.0000     0.1180
    6.000     0.000   0.727488   0.018470   0.016739   0.035210  -0.000038  -0.000001  -0.087511   0.000001   0.000001   10.0000     0.1182
    6.500     0.000   0.770619   0.020587   0.017195   0.037782  -0.000038  -0.000001  -0.095530   0.000001   0.000001   10.0000     0.1184
    7.000     0.000   0.813639   0.022815   0.017657   0.040472  -0.000038  -0.000001  -0.103760   0.000001   0.000001   10.0000     0.1186
    7.500     0.000   0.856543   0.025152   0.018182   0.043334  -0.000038  -0.000001  -0.112198   0.000001   0.000001   10.0000     0.1188
    8.000     0.000   0.899324   0.027597   0.018721   0.046319  -0.000038  -0.000001  -0.120845   0.000001   0.000001   10.0000     0.1189
    8.500     0.000   0.941977   0.030149   0.019321   0.049470  -0.000038  -0.000001  -0.129704   0.000001   0.000001   10.0000     0.1191
    9.000     0.000   0.984495   0.032805   0.020268   0.053073  -0.000038  -0.000001  -0.138798   0.000001   0.000002   10.0000     0.1192
    9.500     0.000   1.026871   0.035564   0.021163   0.056726  -0.000038  -0.000001  -0.148118   0.000001   0.000002   10.0000     0.1194
   10.000     0.000   1.069101   0.038423   0.021924   0.060347  -0.000038  -0.000001  -0.157651   0.000001   0.000002   10.0000     0.1195


