xflr5 v6.58

Plane name :        FunCub(Wing-Elevator-Fin)
Polar name :        T1-14.0 m/s-VLM2-b15.0°
Freestream speed :  14.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000    15.000  -0.051113   0.012304   0.018395   0.030699  -0.066366  -0.007940   0.007966   0.023237   0.022948   14.0000     0.1100
   -2.500    15.000  -0.011690   0.012149   0.017702   0.029852  -0.066213  -0.007217   0.006568   0.023577   0.023283   14.0000     0.1156
   -2.000    15.000   0.027697   0.012171   0.017064   0.029235  -0.066222  -0.006501   0.004773   0.023906   0.023606   14.0000     0.1048
   -1.500    15.000   0.067026   0.012428   0.016418   0.028846  -0.066391  -0.005792   0.002561   0.024223   0.023916   14.0000     0.1068
   -1.000    15.000   0.106280   0.013114   0.015562   0.028676  -0.066721  -0.005092  -0.000127   0.024548   0.024214   14.0000     0.1074
   -0.500    15.000   0.145496   0.014557   0.014252   0.028809  -0.067215  -0.004397  -0.003320   0.024853   0.024501   14.0000     0.1075
    0.000    15.000   0.186165   0.015841   0.013411   0.029252  -0.067904  -0.003668  -0.007355   0.025160   0.024809   14.0000     0.1076
    0.500    15.000   0.226036   0.017808   0.013041   0.030849  -0.068666  -0.003039  -0.010750   0.025364   0.025030   14.0000     0.1068
    1.000    15.000   0.265918   0.018720   0.012879   0.031599  -0.069568  -0.002381  -0.015166   0.025582   0.025253   14.0000     0.1069
    1.500    15.000   0.305690   0.019184   0.012768   0.031953  -0.070686  -0.001730  -0.019966   0.025807   0.025481   14.0000     0.1071
    2.000    15.000   0.345269   0.019940   0.012717   0.032657  -0.071962  -0.001092  -0.025212   0.026014   0.025695   14.0000     0.1073
    2.500    15.000   0.384767   0.021355   0.012752   0.034107  -0.073378  -0.000466  -0.030898   0.026203   0.025890   14.0000     0.1075
    3.000    15.000   0.424263   0.023118   0.012849   0.035967  -0.074464   0.000147  -0.036974   0.026219   0.025914   14.0000     0.1076
    3.500    15.000   0.463897   0.025364   0.013090   0.038454  -0.076194   0.000741  -0.043532   0.026389   0.026084   14.0000     0.1077
    4.000    15.000   0.503558   0.027206   0.013401   0.040607  -0.078054   0.001320  -0.050530   0.026536   0.026235   14.0000     0.1079
    4.500    15.000   0.543297   0.029256   0.013739   0.042995  -0.080102   0.001892  -0.058000   0.026666   0.026371   14.0000     0.1080
    5.000    15.000   0.582628   0.031312   0.014097   0.045409  -0.082219   0.002433  -0.065882   0.026773   0.026483   14.0000     0.1082
    5.500    15.000   0.622007   0.033764   0.014502   0.048265  -0.084500   0.002963  -0.074217   0.026865   0.026577   14.0000     0.1084
    6.000    15.000   0.661329   0.036466   0.014929   0.051395  -0.086978   0.003476  -0.083007   0.026960   0.026672   14.0000     0.1086
    6.500    15.000   0.700525   0.038893   0.015317   0.054210  -0.088603   0.003948  -0.092095   0.026715   0.026430   14.0000     0.1087
    7.000    15.000   0.739655   0.041957   0.015771   0.057728  -0.091376   0.004421  -0.101795   0.026803   0.026519   14.0000     0.1089
    7.500    15.000   0.778296   0.045114   0.016254   0.061368  -0.094347   0.004884  -0.112136   0.026903   0.026616   14.0000     0.1092


