xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-10.0 m/s-VLM2-b15.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000    15.000  -0.385575   0.020721   0.025801   0.046522  -0.093064  -0.009814   0.111864   0.032334   0.031774   10.0000     0.1475
   -5.500    15.000  -0.344272   0.018988   0.024984   0.043973  -0.092645  -0.009130   0.101289   0.032790   0.032292   10.0000     0.1481
   -5.000    15.000  -0.303006   0.017480   0.024355   0.041835  -0.092420  -0.008424   0.090692   0.033328   0.032809   10.0000     0.1489
   -4.500    15.000  -0.261787   0.016194   0.023789   0.039983  -0.092394  -0.007695   0.080101   0.033870   0.033325   10.0000     0.1500
   -4.000    15.000  -0.220625   0.015125   0.023227   0.038353  -0.092566  -0.006944   0.069524   0.034415   0.033840   10.0000     0.1516
   -3.500    15.000  -0.179534   0.014257   0.022607   0.036864  -0.092932  -0.006172   0.058968   0.034962   0.034353   10.0000     0.1540
   -3.000    15.000  -0.138528   0.013572   0.021909   0.035480  -0.093483  -0.005377   0.048445   0.035503   0.034862   10.0000     0.1579
   -2.500    15.000  -0.097604   0.013155   0.020487   0.033642  -0.094202  -0.004563   0.037957   0.036046   0.035365   10.0000     0.1652
   -2.000    15.000  -0.056730   0.013004   0.018920   0.031924  -0.095076  -0.003727   0.027506   0.036570   0.035869   10.0000     0.1831
   -1.500    15.000  -0.015874   0.012989   0.018703   0.031692  -0.096065  -0.002873   0.017055   0.037076   0.036362   10.0000     0.2925
   -1.000    15.000   0.024974   0.013159   0.018690   0.031849  -0.097154  -0.002000   0.006625   0.037565   0.036846   10.0000     0.0392
   -0.500    15.000   0.065832   0.013797   0.018817   0.032615  -0.098285  -0.001109  -0.003740   0.038039   0.037309   10.0000     0.1014
    0.000    15.000   0.104407   0.012160   0.019402   0.031562  -0.100063   0.000229  -0.006811   0.038741   0.037953   10.0000     0.0995


