xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-14.0 m/s-VLM2-2.6kg-x0.3m
Freestream speed :  14.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.500     0.000  -0.694427   0.035604   0.110850   0.146454  -0.000000   0.000000   0.149740   0.000000   0.000000   14.0000     0.1337
   -9.000     0.000  -0.652717   0.031637   0.051328   0.082964  -0.000000   0.000000   0.143309   0.000000   0.000000   14.0000     0.1342
   -8.500     0.000  -0.610852   0.027892   0.027370   0.055262  -0.000000   0.000000   0.136284   0.000000   0.000000   14.0000     0.1348
   -8.000     0.000  -0.568839   0.024373   0.025767   0.050141  -0.000000   0.000000   0.128897   0.000000   0.000000   14.0000     0.1355
   -7.500     0.000  -0.526690   0.021083   0.024708   0.045791  -0.000000   0.000000   0.121461   0.000000   0.000000   14.0000     0.1364
   -7.000     0.000  -0.484412   0.018024   0.023785   0.041810  -0.000000   0.000000   0.113983   0.000000   0.000000   14.0000     0.1374
   -6.500     0.000  -0.442016   0.015199   0.022957   0.038157  -0.000000   0.000000   0.106466   0.000000   0.000000   14.0000     0.1386
   -6.000     0.000  -0.399511   0.012610   0.022173   0.034784  -0.000000   0.000000   0.098911   0.000000   0.000000   14.0000     0.1402
   -5.500     0.000  -0.356906   0.010259   0.021448   0.031708  -0.000000   0.000000   0.091322   0.000000   0.000000   14.0000     0.1421
   -5.000     0.000  -0.314211   0.008149   0.020713   0.028862  -0.000000   0.000000   0.083702   0.000000   0.000000   14.0000     0.1445
   -4.500     0.000  -0.271435   0.006280   0.020031   0.026310  -0.000000   0.000000   0.076052   0.000000   0.000000   14.0000     0.1478
   -4.000     0.000  -0.228588   0.004654   0.019487   0.024141  -0.000000   0.000000   0.068373   0.000000   0.000000   14.0000     0.1523
   -3.500     0.000  -0.185679   0.003273   0.018833   0.022106  -0.000000   0.000000   0.060671   0.000000   0.000000   14.0000     0.1590
   -3.000     0.000  -0.142719   0.002138   0.018124   0.020261  -0.000000   0.000000   0.052947   0.000000   0.000000   14.0000     0.1697
   -2.500     0.000  -0.099717   0.001250   0.017335   0.018585  -0.000000   0.000000   0.045204   0.000000  -0.000000   14.0000     0.1897
   -2.000     0.000  -0.056683   0.000609   0.015780   0.016388   0.000000   0.000000   0.037449   0.000000  -0.000000   14.0000     0.2401
   -1.500     0.000  -0.013627   0.000216   0.014314   0.014530   0.000000   0.000000   0.029677  -0.000000  -0.000000   14.0000     0.6091
   -1.000     0.000   0.029442   0.000073   0.013907   0.013980   0.000000  -0.000000   0.021884  -0.000000  -0.000000   14.0000    -0.1016
   -0.500     0.000   0.072515   0.000178   0.013824   0.014001   0.000000  -0.000000   0.014079  -0.000000  -0.000000   14.0000     0.0319
    0.000     0.000   0.115580   0.000532   0.013893   0.014425   0.000000  -0.000000   0.006266  -0.000000  -0.000000   14.0000     0.0660
    0.500     0.000   0.158628   0.001135   0.014010   0.015145   0.000000  -0.000000  -0.001552  -0.000000  -0.000000   14.0000     0.0815
    1.000     0.000   0.201650   0.001986   0.014141   0.016127   0.000000  -0.000000  -0.009372  -0.000000  -0.000000   14.0000     0.0904
