xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-30.0 m/s-VLM2-b10.0°-2.6kg-x0.3m
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.500    10.000  -0.614869   0.025806   0.018987   0.044793  -0.062306  -0.008437   0.167842   0.019208   0.019097   30.0000     0.1476
   -8.000    10.000  -0.571767   0.022928   0.018279   0.041207  -0.061387  -0.008035   0.157607   0.019539   0.019414   30.0000     0.1479
   -7.500    10.000  -0.528681   0.020274   0.017577   0.037851  -0.060618  -0.007621   0.147328   0.019876   0.019740   30.0000     0.1484
   -7.000    10.000  -0.485617   0.017840   0.016990   0.034831  -0.059996  -0.007195   0.137008   0.020219   0.020072   30.0000     0.1490
   -6.500    10.000  -0.442578   0.015627   0.016485   0.032112  -0.059521  -0.006757   0.126658   0.020565   0.020411   30.0000     0.1497
   -6.000    10.000  -0.399570   0.013631   0.015944   0.029575  -0.059188  -0.006306   0.116289   0.020919   0.020756   30.0000     0.1507
   -5.500    10.000  -0.356597   0.011850   0.015411   0.027261  -0.058994  -0.005842   0.105906   0.021279   0.021105   30.0000     0.1519
   -5.000    10.000  -0.313662   0.010279   0.014907   0.025186  -0.058936  -0.005365   0.095515   0.021642   0.021460   30.0000     0.1535
   -4.500    10.000  -0.270769   0.008912   0.014408   0.023320  -0.059007  -0.004874   0.085120   0.022012   0.021817   30.0000     0.1557
   -4.000    10.000  -0.227920   0.007742   0.013951   0.021692  -0.059203  -0.004370   0.074727   0.022382   0.022177   30.0000     0.1587
   -3.500    10.000  -0.185116   0.006755   0.013538   0.020292  -0.059518  -0.003853   0.064337   0.022752   0.022538   30.0000     0.1632
   -3.000    10.000  -0.142360   0.005943   0.013163   0.019106  -0.059945  -0.003323   0.053957   0.023122   0.022900   30.0000     0.1705
   -2.500    10.000  -0.099648   0.005353   0.012827   0.018179  -0.060479  -0.002781   0.043588   0.023488   0.023261   30.0000     0.1842
   -2.000    10.000  -0.056959   0.005010   0.012433   0.017444  -0.061115  -0.002226   0.033233   0.023863   0.023621   30.0000     0.2184
   -1.500    10.000  -0.014289   0.004822   0.011826   0.016649  -0.061844  -0.001659   0.022894   0.024247   0.023977   30.0000     0.4563
   -1.000    10.000   0.028353   0.004792   0.010630   0.015423  -0.062669  -0.001081   0.012581   0.024602   0.024331   30.0000    -0.0244
   -0.500    10.000   0.070971   0.004979   0.010253   0.015232  -0.063549  -0.000490   0.002310   0.024926   0.024665   30.0000     0.0730
    0.000    10.000   0.112328   0.005512   0.010056   0.015567  -0.063557   0.000119  -0.002568   0.024862   0.024616   30.0000     0.0852
    0.500    10.000   0.156760   0.005928   0.010047   0.015974  -0.065631   0.000723  -0.018352   0.025573   0.025335   30.0000     0.1080
    1.000    10.000   0.199663   0.006290   0.010133   0.016423  -0.066886   0.001344  -0.028892   0.025919   0.025692   30.0000     0.1145
    1.500    10.000   0.242559   0.006811   0.010298   0.017108  -0.067780   0.001964  -0.039451   0.026044   0.025826   30.0000     0.1187
    2.000    10.000   0.285497   0.007425   0.010515   0.017940  -0.069257   0.002606  -0.049983   0.026391   0.026182   30.0000     0.1217
    2.500    10.000   0.328501   0.008127   0.010754   0.018881  -0.070758   0.003253  -0.060584   0.026685   0.026481   30.0000     0.1239
    3.000    10.000   0.371543   0.008776   0.011001   0.019777  -0.072406   0.003908  -0.071240   0.026978   0.026780   30.0000     0.1257
    3.500    10.000   0.414546   0.009412   0.011246   0.020658  -0.074221   0.004573  -0.081938   0.027294   0.027098   30.0000     0.1272
    4.000    10.000   0.457368   0.011113   0.011478   0.022591  -0.075448   0.005198  -0.092668   0.027256   0.027063   30.0000     0.1285
    4.500    10.000   0.500194   0.014217   0.011728   0.025945  -0.077487   0.005864  -0.103430   0.027518   0.027326   30.0000     0.1296
    5.000    10.000   0.543221   0.017796   0.011989   0.029784  -0.079591   0.006531  -0.114216   0.027743   0.027553   30.0000     0.1305
    5.500    10.000   0.586383   0.021086   0.012269   0.033354  -0.081783   0.007199  -0.125004   0.027945   0.027757   30.0000     0.1313
    6.000    10.000   0.629586   0.024224   0.012576   0.036799  -0.084144   0.007871  -0.135814   0.028145   0.027960   30.0000     0.1321
    6.500    10.000   0.672784   0.027407   0.012895   0.040302  -0.086489   0.008529  -0.146635   0.028258   0.028075   30.0000     0.1328


