xflr5 v6.58

Plane name :        FunCub
Polar name :        T1-5.0 m/s-VLM2-b5.0°
Freestream speed :   5.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     5.000  -0.233025   0.004158   0.028193   0.032351  -0.027963  -0.003671   0.079108   0.010666   0.010409    5.0000     0.1642
   -3.000     5.000  -0.145300   0.002383   0.027315   0.029698  -0.028508  -0.003150   0.064099   0.011189   0.010906    5.0000     0.1799
   -2.000     5.000  -0.057717   0.001370   0.027103   0.028473  -0.029250  -0.002622   0.047340   0.011675   0.011395    5.0000     0.2443
   -1.000     5.000   0.029745   0.001097   0.027093   0.028191  -0.030172  -0.002089   0.028733   0.012149   0.011870    5.0000    -0.0721
    0.000     5.000   0.116626  -0.003942   0.026929   0.022988  -0.031277  -0.001448   0.008942   0.012615   0.012333    5.0000     0.0818
    1.000     5.000   0.204749   0.002678   0.026591   0.029268  -0.032532  -0.001013  -0.014880   0.013041   0.012759    5.0000     0.1063
    2.000     5.000   0.292411   0.004902   0.026027   0.030929  -0.033945  -0.000475  -0.040382   0.013441   0.013159    5.0000     0.1158
    3.000     5.000   0.380326   0.007762   0.025356   0.033118  -0.035589   0.000054  -0.068271   0.013836   0.013542    5.0000     0.1211
    4.000     5.000   0.468302   0.011443   0.024875   0.036318  -0.037413   0.000574  -0.098363   0.014188   0.013885    5.0000     0.1247
    5.000     5.000   0.556387   0.016317   0.025021   0.041338  -0.039432   0.001080  -0.130416   0.014495   0.014192    5.0000     0.1272
    6.000     5.000   0.644571   0.021269   0.025918   0.047187  -0.041666   0.001570  -0.164282   0.014774   0.014478    5.0000     0.1293
    7.000     5.000   0.732765   0.027414   0.027276   0.054690  -0.044153   0.002037  -0.199988   0.015010   0.014719    5.0000     0.1309


