xflr5 v6.58

Plane name :        FunCub
Polar name :        T1-5.0 m/s-VLM2
Freestream speed :   5.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.228562   0.004654   0.027851   0.032505  -0.000000   0.000032   0.073549   0.000004   0.000000    5.0000     0.1535
   -3.000     0.000  -0.142690   0.002138   0.026983   0.029121  -0.000000   0.000020   0.060613   0.000004   0.000000    5.0000     0.1712
   -2.000     0.000  -0.056652   0.000609   0.026757   0.027366  -0.000000   0.000008   0.046797   0.000004   0.000000    5.0000     0.2431
   -1.000     0.000   0.029477   0.000073   0.026751   0.026824   0.000000  -0.000004   0.031986   0.000004  -0.000000    5.0000    -0.1053
    0.000     0.000   0.115617   0.000532   0.026548   0.027080   0.000000  -0.000016   0.016062   0.000004  -0.000000    5.0000     0.0654
    1.000     0.000   0.201689   0.001987   0.026132   0.028120   0.000000  -0.000029  -0.000961   0.000004  -0.000000    5.0000     0.0904
    2.000     0.000   0.287617   0.004434   0.025479   0.029913   0.000000  -0.000041  -0.019068   0.000004  -0.000000    5.0000     0.1004
    3.000     0.000   0.373321   0.007867   0.024914   0.032781   0.000000  -0.000053  -0.038161   0.000004  -0.000000    5.0000     0.1059
    4.000     0.000   0.458724   0.012275   0.024456   0.036731   0.000000  -0.000065  -0.058186   0.000003  -0.000000    5.0000     0.1094
    5.000     0.000   0.543750   0.017646   0.024634   0.042280   0.000000  -0.000077  -0.078950   0.000003  -0.000000    5.0000     0.1118
    6.000     0.000   0.628321   0.023965   0.025546   0.049512   0.000000  -0.000089  -0.100392   0.000004  -0.000000    5.0000     0.1136
    7.000     0.000   0.712364   0.031214   0.026862   0.058076   0.000000  -0.000101  -0.122590   0.000004  -0.000000    5.0000     0.1151
    8.000     0.000   0.795802   0.039372   0.028419   0.067791   0.000000  -0.000113  -0.145568   0.000004  -0.000000    5.0000     0.1163
    9.000     0.000   0.878565   0.048414   0.030194   0.078607   0.000000  -0.000125  -0.169308   0.000004  -0.000000    5.0000     0.1173
   10.000     0.000   0.960579   0.058313   0.032155   0.090468   0.000000  -0.000137  -0.193793   0.000005  -0.000000    5.0000     0.1182


