xflr5 v6.61

Plane name :        FunCub_Flaps100
Polar name :        T1-26.0 m/s-VLM2
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000  -0.143253   0.016272   0.043261   0.059533   0.000000  -0.000000   0.567312  -0.000000  -0.000000   26.0000     1.0805
   -6.500     0.000  -0.101456   0.016143   0.043015   0.059159   0.000000  -0.000000   0.552830  -0.000000  -0.000000   26.0000     1.4563
   -6.000     0.000  -0.059623   0.016244   0.042924   0.059167   0.000000  -0.000000   0.538255  -0.000000  -0.000000   26.0000     2.3597
   -5.500     0.000  -0.017764   0.016573   0.042466   0.059039   0.000000  -0.000000   0.523615  -0.000000  -0.000000   26.0000     7.5228
   -5.000     0.000   0.024113   0.017132   0.041794   0.058926   0.000000  -0.000000   0.508894  -0.000000  -0.000000   26.0000    -5.2487
   -4.500     0.000   0.065997   0.017920   0.041232   0.059153   0.000000  -0.000000   0.494070  -0.000000  -0.000000   26.0000    -1.8104
   -4.000     0.000   0.107879   0.018939   0.040376   0.059315   0.000000  -0.000000   0.479171  -0.000000  -0.000000   26.0000    -1.0418
   -3.500     0.000   0.149751   0.020188   0.039591   0.059779   0.000000  -0.000000   0.464188  -0.000000  -0.000000   26.0000    -0.7031
   -3.000     0.000   0.191603   0.021667   0.038751   0.060417   0.000000  -0.000000   0.449124  -0.000000  -0.000000   26.0000    -0.5124
   -2.500     0.000   0.233426   0.023374   0.037976   0.061351   0.000000  -0.000000   0.433989  -0.000000  -0.000000   26.0000    -0.3901
   -2.000     0.000   0.275211   0.025311   0.037056   0.062367   0.000000  -0.000000   0.418792  -0.000000  -0.000000   26.0000    -0.3050
   -1.500     0.000   0.316948   0.027475   0.036277   0.063752   0.000000  -0.000000   0.403522  -0.000000  -0.000000   26.0000    -0.2424
   -1.000     0.000   0.358628   0.029867   0.035883   0.065750   0.000000  -0.000000   0.388171  -0.000000  -0.000000   26.0000    -0.1943
   -0.500     0.000   0.400242   0.032484   0.035620   0.068104   0.000000  -0.000000   0.372756  -0.000000  -0.000000   26.0000    -0.1563
    0.000     0.000   0.441781   0.035326   0.035533   0.070859   0.000000  -0.000000   0.357276  -0.000000  -0.000000   26.0000    -0.1254
    0.500     0.000   0.483236   0.038391   0.035500   0.073891   0.000000  -0.000000   0.341743  -0.000000  -0.000000   26.0000    -0.0998
    1.000     0.000   0.524598   0.041678   0.035507   0.077184   0.000000  -0.000000   0.326161  -0.000000  -0.000000   26.0000    -0.0783
    1.500     0.000   0.565858   0.045184   0.035534   0.080719   0.000000  -0.000000   0.310535  -0.000000  -0.000000   26.0000    -0.0600
    2.000     0.000   0.607006   0.048908   0.035643   0.084551   0.000000  -0.000000   0.294866  -0.000000  -0.000000   26.0000    -0.0441
    2.500     0.000   0.648034   0.052848   0.035631   0.088479   0.000000  -0.000000   0.279168  -0.000000  -0.000000   26.0000    -0.0303
    3.000     0.000   0.688934   0.057001   0.035763   0.092764   0.000000  -0.000000   0.263436  -0.000000  -0.000000   26.0000    -0.0181
    3.500     0.000   0.729696   0.061364   0.035962   0.097326   0.000000  -0.000000   0.247675  -0.000000  -0.000000   26.0000    -0.0073
    4.000     0.000   0.770311   0.065936   0.036163   0.102100   0.000000  -0.000000   0.231893  -0.000000  -0.000000   26.0000     0.0024
    4.500     0.000   0.810771   0.070714   0.036434   0.107147   0.000000  -0.000000   0.216091  -0.000000  -0.000000   26.0000     0.0111
    5.000     0.000   0.851068   0.075693   0.036851   0.112544   0.000000  -0.000000   0.200272  -0.000000  -0.000000   26.0000     0.0190
    5.500     0.000   0.891193   0.080872   0.037511   0.118383   0.000000  -0.000000   0.184435  -0.000000  -0.000000   26.0000     0.0262
    6.000     0.000   0.931137   0.086247   0.038723   0.124970   0.000000  -0.000000   0.168573  -0.000000  -0.000000   26.0000     0.0328


