xflr5 v6.61

Plane name :        FunCub_Flaps50
Polar name :        T1-18.0 m/s-VLM2-b5.0°
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.500     5.000  -0.403822   0.017958   0.045065   0.063023  -0.027745  -0.001764   0.299887   0.009770   0.009605   18.0000     0.2721
   -8.000     5.000  -0.363004   0.015821   0.039763   0.055585  -0.027659  -0.001536   0.293408   0.010052   0.009829   18.0000     0.2880
   -7.500     5.000  -0.322228   0.013921   0.033578   0.047499  -0.027657  -0.001303   0.286923   0.010406   0.010063   18.0000     0.3081
   -7.000     5.000  -0.281498   0.012254   0.030035   0.042289  -0.027732  -0.001067   0.280208   0.010456   0.010303   18.0000     0.3340
   -6.500     5.000  -0.240817   0.010817   0.028052   0.038870  -0.027877  -0.000825   0.273325   0.010754   0.010548   18.0000     0.3687
   -6.000     5.000  -0.200187   0.009607   0.027119   0.036727  -0.028086  -0.000579   0.266348   0.010977   0.010796   18.0000     0.4175
   -5.500     5.000  -0.159611   0.008619   0.026499   0.035118  -0.028354  -0.000329   0.259331   0.011200   0.011045   18.0000     0.4910
   -5.000     5.000  -0.119092   0.007849   0.026130   0.033979  -0.028676  -0.000076   0.252285   0.011449   0.011293   18.0000     0.6145
   -4.500     5.000  -0.078631   0.007292   0.025793   0.033085  -0.029049   0.000180   0.245231   0.011696   0.011540   18.0000     0.8645
   -4.000     5.000  -0.038229   0.006942   0.025402   0.032345  -0.029467   0.000437   0.238180   0.011929   0.011783   18.0000     1.6367
   -3.500     5.000   0.002111   0.006793   0.024827   0.031620  -0.029927   0.000694   0.231139   0.012190   0.012022   18.0000   -34.3737
   -3.000     5.000   0.042390   0.006836   0.024093   0.030929  -0.030427   0.000948   0.224119   0.012438   0.012256   18.0000    -1.2672
   -2.500     5.000   0.082602   0.007058   0.023437   0.030495  -0.030961   0.001198   0.217124   0.012649   0.012482   18.0000    -0.5865
   -2.000     5.000   0.122741   0.007437   0.023089   0.030526  -0.031526   0.001443   0.210165   0.012852   0.012700   18.0000    -0.3536
   -1.500     5.000   0.162786   0.007873   0.022902   0.030776  -0.032118   0.001681   0.203282   0.013050   0.012905   18.0000    -0.2361
   -1.000     5.000   0.202673   0.007497   0.022763   0.030260  -0.032728   0.001922   0.196685   0.013233   0.013096   18.0000    -0.1658
   -0.500     5.000   0.241767   0.008933   0.022648   0.031581  -0.033389   0.002271   0.192394   0.013414   0.013283   18.0000    -0.1218
    0.000     5.000   0.261916   0.010911   0.022651   0.033562  -0.035802   0.004582   0.226689   0.014314   0.014175   18.0000    -0.1394
    0.500     5.000   0.318532   0.011116   0.022350   0.033465  -0.034843   0.002921   0.185655   0.013784   0.013655   18.0000    -0.0683
    1.000     5.000   0.356744   0.010199   0.022139   0.032338  -0.035685   0.003137   0.182000   0.013961   0.013832   18.0000    -0.0501
    1.500     5.000   0.398017  -0.004041   0.021875   0.017835  -0.036363   0.002997   0.170854   0.014042   0.013913   18.0000    -0.0300
    2.000     5.000   0.436172  -0.000337   0.021508   0.021171  -0.037327   0.003335   0.167398   0.014291   0.014161   18.0000    -0.0188
    2.500     5.000   0.470877   0.015100   0.021155   0.036255  -0.038710   0.004488   0.169229   0.014622   0.014488   18.0000    -0.0126
    3.000     5.000   0.514563   0.020089   0.020625   0.040715  -0.039365   0.004835   0.155585   0.014624   0.014489   18.0000     0.0017
    3.500     5.000   0.557380   0.024230   0.020013   0.044243  -0.040165   0.005196   0.140809   0.014659   0.014524   18.0000     0.0141
    4.000     5.000   0.601375   0.033306   0.019484   0.052790  -0.041006   0.005554   0.125531   0.014686   0.014547   18.0000     0.0250
    4.500     5.000   0.643972   0.032454   0.019779   0.052233  -0.041710   0.005901   0.110065   0.014663   0.014532   18.0000     0.0345
    5.000     5.000   0.687204   0.036773   0.020113   0.056886  -0.042611   0.006252   0.094423   0.014660   0.014546   18.0000     0.0429
    5.500     5.000   0.730467   0.041347   0.020420   0.061767  -0.043621   0.006597   0.078646   0.014629   0.014526   18.0000     0.0504
    6.000     5.000   0.773682   0.046255   0.020708   0.066963  -0.044578   0.006929   0.062825   0.014560   0.014461   18.0000     0.0570
    6.500     5.000   0.816457   0.054179   0.021070   0.075249  -0.045571   0.007258   0.046994   0.014471   0.014392   18.0000     0.0630
    7.000     5.000   0.860340   0.056796   0.021464   0.078260  -0.046651   0.007586   0.031188   0.014408   0.014335   18.0000     0.0684
    7.500     5.000   0.903480   0.061641   0.021918   0.083559  -0.047858   0.007918   0.015420   0.014353   0.014293   18.0000     0.0732


