xflr5 v6.61

Plane name :        FunCub_Flaps0_Eta2
Polar name :        T1-10.0 m/s-VLM2-b10.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.500    10.000  -0.465399   0.016976   0.026545   0.043521  -0.065554  -0.006968   0.162538   0.022996   0.022555   10.0000     0.1658
   -6.000    10.000  -0.421787   0.014724   0.025227   0.039951  -0.065443  -0.006435   0.152418   0.023282   0.023020   10.0000     0.1685
   -5.500    10.000  -0.378202   0.012641   0.024512   0.037153  -0.065472  -0.005884   0.142208   0.023751   0.023485   10.0000     0.1719
   -5.000    10.000  -0.334648   0.010696   0.023786   0.034482  -0.065633  -0.005314   0.131963   0.024228   0.023948   10.0000     0.1762
   -4.500    10.000  -0.291126   0.008840   0.023111   0.031951  -0.065921  -0.004727   0.121689   0.024702   0.024409   10.0000     0.1818
   -4.000    10.000  -0.247639   0.006988   0.022462   0.029450  -0.066327  -0.004122   0.111395   0.025174   0.024867   10.0000     0.1894
   -3.500    10.000  -0.204191   0.004988   0.021764   0.026752  -0.066844  -0.003499   0.101085   0.025650   0.025322   10.0000     0.2004
   -3.000    10.000  -0.160801   0.002585   0.020997   0.023582  -0.067465  -0.002861   0.090763   0.026125   0.025773   10.0000     0.2174
   -2.500    10.000  -0.117528  -0.000540   0.019615   0.019076  -0.068186  -0.002205   0.080445   0.026595   0.026220   10.0000     0.2468
   -2.000    10.000  -0.074528  -0.004577   0.017764   0.013187  -0.069003  -0.001535   0.070129   0.027047   0.026661   10.0000     0.3096
   -1.500    10.000  -0.032054  -0.007878   0.017437   0.009560  -0.069909  -0.000849   0.059776   0.027487   0.027096   10.0000     0.5361
   -1.000    10.000   0.010307  -0.006398   0.017360   0.010962  -0.070906  -0.000148   0.049421   0.027914   0.027525   10.0000    -1.0684
   -0.500    10.000   0.053271  -0.002047   0.017430   0.015383  -0.071965   0.000566   0.039063   0.028329   0.027937   10.0000    -0.0975
    0.000    10.000   0.096594   0.001627   0.017503   0.019130  -0.073131   0.001301   0.028919   0.028744   0.028347   10.0000     0.0069
    0.500    10.000   0.140281   0.004183   0.017573   0.021756  -0.074435   0.002063   0.019173   0.029170   0.028766   10.0000     0.0458
    1.000    10.000   0.184375   0.005621   0.017613   0.023234  -0.075855   0.002794   0.007885   0.029598   0.029186   10.0000     0.0684
    1.500    10.000   0.228092   0.007013   0.017611   0.024624  -0.076826   0.003547  -0.002779   0.029767   0.029346   10.0000     0.0816
    2.000    10.000   0.271710   0.008314   0.017613   0.025927  -0.078484   0.004328  -0.013370   0.030196   0.029763   10.0000     0.0905
    2.500    10.000   0.315374   0.009765   0.017544   0.027309  -0.080160   0.005115  -0.024045   0.030567   0.030120   10.0000     0.0971
    3.000    10.000   0.359072   0.011393   0.017471   0.028863  -0.081996   0.005913  -0.034787   0.030938   0.030477   10.0000     0.1021
    3.500    10.000   0.402804   0.013198   0.017465   0.030664  -0.084008   0.006724  -0.045584   0.031323   0.030855   10.0000     0.1060
    4.000    10.000   0.446591   0.015251   0.017530   0.032781  -0.085282   0.007489  -0.056435   0.031283   0.030819   10.0000     0.1093
    4.500    10.000   0.490372   0.017464   0.017737   0.035201  -0.087497   0.008304  -0.067314   0.031586   0.031131   10.0000     0.1120
    5.000    10.000   0.534169   0.019895   0.018063   0.037958  -0.089759   0.009120  -0.078227   0.031841   0.031400   10.0000     0.1143
    5.500    10.000   0.577982   0.022537   0.018499   0.041036  -0.092087   0.009939  -0.089150   0.032063   0.031642   10.0000     0.1163
    6.000    10.000   0.621810   0.025409   0.019019   0.044428  -0.094591   0.010764  -0.100103   0.032284   0.031885   10.0000     0.1180


