xflr5 v6.61

Plane name :        FunCub_Flaps50_Eta6
Polar name :        T1-10.0 m/s-VLM2
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.454614   0.014665   0.034012   0.048677  -0.000000   0.000000   0.179650   0.000000   0.000000   10.0000     0.1783
   -9.500     0.000  -0.415563   0.012516   0.033046   0.045562  -0.000000   0.000000   0.174907   0.000000   0.000000   10.0000     0.1846
   -9.000     0.000  -0.376408   0.010569   0.032366   0.042934  -0.000000   0.000000   0.170116   0.000000   0.000000   10.0000     0.1922
   -8.500     0.000  -0.337157   0.008825   0.031846   0.040671  -0.000000   0.000000   0.165280   0.000000   0.000000   10.0000     0.2016
   -8.000     0.000  -0.297818   0.007288   0.031417   0.038705  -0.000000   0.000000   0.160402   0.000000   0.000000   10.0000     0.2135
   -7.500     0.000  -0.258401   0.005958   0.031115   0.037073  -0.000000   0.000000   0.155483   0.000000   0.000000   10.0000     0.2291
   -7.000     0.000  -0.218913   0.004837   0.030823   0.035659  -0.000000   0.000000   0.150527   0.000000   0.000000   10.0000     0.2505
   -6.500     0.000  -0.179363   0.003926   0.030596   0.034522  -0.000000   0.000000   0.145533   0.000000   0.000000   10.0000     0.2812
   -6.000     0.000  -0.139760   0.003227   0.030404   0.033631  -0.000000   0.000000   0.140502   0.000000   0.000000   10.0000     0.3295
   -5.500     0.000  -0.100113   0.002740   0.030241   0.032981  -0.000000   0.000000   0.135439   0.000000   0.000000   10.0000     0.4161
   -5.000     0.000  -0.060429   0.002467   0.030083   0.032551  -0.000000   0.000000   0.130343   0.000000   0.000000   10.0000     0.6166
   -4.500     0.000  -0.020717   0.002408   0.029878   0.032286  -0.000000   0.000000   0.125214  -0.000000  -0.000000   10.0000     1.5860
   -4.000     0.000   0.019014   0.002564   0.029332   0.031896   0.000000   0.000000   0.120058  -0.000000  -0.000000   10.0000    -1.4965
   -3.500     0.000   0.058754   0.002935   0.028768   0.031703   0.000000   0.000000   0.114873  -0.000000  -0.000000   10.0000    -0.4093
   -3.000     0.000   0.098497   0.003520   0.028567   0.032088   0.000000   0.000000   0.109659  -0.000000  -0.000000   10.0000    -0.1994
   -2.500     0.000   0.138232   0.004322   0.028688   0.033009   0.000000   0.000000   0.104416  -0.000000  -0.000000   10.0000    -0.1102
   -2.000     0.000   0.177952   0.005338   0.028744   0.034081   0.000000   0.000000   0.099153  -0.000000  -0.000000   10.0000    -0.0608
   -1.500     0.000   0.217647   0.006569   0.028762   0.035331   0.000000   0.000000   0.093867  -0.000000  -0.000000   10.0000    -0.0295
   -1.000     0.000   0.257310   0.008014   0.028709   0.036723   0.000000   0.000000   0.088563  -0.000000  -0.000000   10.0000    -0.0078
   -0.500     0.000   0.296930   0.009674   0.028602   0.038275   0.000000   0.000000   0.083240  -0.000000  -0.000000   10.0000     0.0081
    0.000     0.000   0.336500   0.011546   0.028437   0.039983   0.000000   0.000000   0.077900  -0.000000  -0.000000   10.0000     0.0203
    0.500     0.000   0.376012   0.013630   0.028212   0.041842   0.000000   0.000000   0.072546  -0.000000  -0.000000   10.0000     0.0299
    1.000     0.000   0.415456   0.015925   0.027907   0.043833   0.000000   0.000000   0.067178  -0.000000  -0.000000   10.0000     0.0377
    1.500     0.000   0.454824   0.018430   0.027525   0.045955   0.000000   0.000000   0.061799  -0.000000  -0.000000   10.0000     0.0441
    2.000     0.000   0.494107   0.021144   0.026882   0.048025   0.000000   0.000000   0.056415  -0.000000  -0.000000   10.0000     0.0495
    2.500     0.000   0.533298   0.024064   0.026215   0.050279   0.000000   0.000000   0.051022  -0.000000  -0.000000   10.0000     0.0541
    3.000     0.000   0.572387   0.027189   0.025537   0.052725   0.000000   0.000000   0.045621  -0.000000  -0.000000   10.0000     0.0581
    3.500     0.000   0.611366   0.030516   0.024895   0.055412   0.000000   0.000000   0.040214  -0.000000  -0.000000   10.0000     0.0616
    4.000     0.000   0.650227   0.034045   0.024245   0.058290   0.000000   0.000000   0.034803  -0.000000  -0.000000   10.0000     0.0647
    4.500     0.000   0.688962   0.037773   0.024013   0.061786   0.000000  -0.000000   0.029382  -0.000000  -0.000000   10.0000     0.0674
    5.000     0.000   0.727563   0.041697   0.024062   0.065759   0.000000   0.000000   0.023955  -0.000000  -0.000000   10.0000     0.0699
    5.500     0.000   0.766020   0.045815   0.024269   0.070085   0.000000  -0.000000   0.018526  -0.000000  -0.000000   10.0000     0.0721
    6.000     0.000   0.804327   0.050125   0.024555   0.074679   0.000000   0.000000   0.013099  -0.000000  -0.000000   10.0000     0.0741
    6.500     0.000   0.842476   0.054622   0.024885   0.079507   0.000000   0.000000   0.007675  -0.000000  -0.000000   10.0000     0.0760
