xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-10.0 m/s-VLM2-b5.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.000     5.000  -0.673211   0.025622   0.108781   0.134403  -0.028854  -0.004091   0.176491   0.004380   0.008466   10.0000     0.1479
   -8.500     5.000  -0.629134   0.022503   0.051344   0.073848  -0.028431  -0.003914   0.169760   0.008283   0.008643   10.0000     0.1483
   -8.000     5.000  -0.585061   0.019605   0.030207   0.049812  -0.028097  -0.003733   0.160899   0.008878   0.008833   10.0000     0.1488
   -7.500     5.000  -0.540995   0.016926   0.028264   0.045190  -0.027846  -0.003547   0.150881   0.009118   0.009033   10.0000     0.1495
   -7.000     5.000  -0.496941   0.014464   0.027031   0.041496  -0.027670  -0.003355   0.140774   0.009343   0.009241   10.0000     0.1503
   -6.500     5.000  -0.452902   0.012219   0.026068   0.038287  -0.027564  -0.003156   0.130613   0.009571   0.009454   10.0000     0.1513
   -6.000     5.000  -0.408883   0.010187   0.025218   0.035405  -0.027525  -0.002949   0.120414   0.009797   0.009671   10.0000     0.1525
   -5.500     5.000  -0.364887   0.008368   0.024527   0.032895  -0.027548  -0.002734   0.110185   0.010022   0.009891   10.0000     0.1541
   -5.000     5.000  -0.320917   0.006758   0.023799   0.030557  -0.027631  -0.002511   0.099942   0.010250   0.010112   10.0000     0.1562
   -4.500     5.000  -0.276976   0.005356   0.023104   0.028460  -0.027771  -0.002280   0.089689   0.010479   0.010334   10.0000     0.1590
   -4.000     5.000  -0.233066   0.004160   0.022440   0.026599  -0.027965  -0.002040   0.079436   0.010709   0.010556   10.0000     0.1630
   -3.500     5.000  -0.189187   0.003167   0.021722   0.024889  -0.028212  -0.001792   0.069191   0.010940   0.010777   10.0000     0.1688
   -3.000     5.000  -0.145341   0.002384   0.020923   0.023307  -0.028510  -0.001537   0.058961   0.011172   0.010996   10.0000     0.1784
   -2.500     5.000  -0.101531   0.001844   0.019495   0.021340  -0.028857  -0.001273   0.048765   0.011400   0.011214   10.0000     0.1962
   -2.000     5.000  -0.057758   0.001370   0.017635   0.019005  -0.029251  -0.001001   0.038600   0.011619   0.011428   10.0000     0.2413
   -1.500     5.000  -0.014009   0.001148   0.017291   0.018439  -0.029690  -0.000722   0.028436   0.011831   0.011639   10.0000     0.5689
   -1.000     5.000   0.029705   0.001091   0.017189   0.018281  -0.030172  -0.000436   0.018306   0.012034   0.011845   10.0000    -0.0688
   -0.500     5.000   0.073422   0.000992   0.017214   0.018206  -0.030691  -0.000145   0.008165   0.012234   0.012045   10.0000     0.0531
    0.000     5.000   0.118913  -0.002244   0.017243   0.015000  -0.031076  -0.000028  -0.006342   0.012358   0.012167   10.0000     0.0932
    0.500     5.000   0.161041   0.001274   0.017260   0.018533  -0.031870   0.000457  -0.012162   0.012619   0.012428   10.0000     0.0980
    1.000     5.000   0.204711   0.002694   0.017245   0.019939  -0.032532   0.000772  -0.022358   0.012805   0.012612   10.0000     0.1062
    1.500     5.000   0.248526   0.003734   0.017208   0.020942  -0.033232   0.001089  -0.032729   0.012982   0.012786   10.0000     0.1117
    2.000     5.000   0.292373   0.004947   0.017152   0.022099  -0.033941   0.001409  -0.043173   0.013144   0.012944   10.0000     0.1155
    2.500     5.000   0.336375   0.006424   0.017024   0.023448  -0.034736   0.001733  -0.053690   0.013308   0.013104   10.0000     0.1185
    3.000     5.000   0.380286   0.007772   0.016895   0.024667  -0.035587   0.002062  -0.064266   0.013465   0.013256   10.0000     0.1208
    3.500     5.000   0.424257   0.009498   0.016836   0.026335  -0.036481   0.002393  -0.074891   0.013607   0.013397   10.0000     0.1227
    4.000     5.000   0.468260   0.011443   0.016883   0.028326  -0.037415   0.002726  -0.085554   0.013734   0.013523   10.0000     0.1243
    4.500     5.000   0.512284   0.013627   0.017046   0.030674  -0.038394   0.003060  -0.096247   0.013846   0.013638   10.0000     0.1256
    5.000     5.000   0.556331   0.016316   0.017332   0.033648  -0.039441   0.003396  -0.106961   0.013950   0.013747   10.0000     0.1268
    5.500     5.000   0.600437   0.018530   0.017722   0.036252  -0.040491   0.003732  -0.117670   0.014036   0.013842   10.0000     0.1278
    6.000     5.000   0.644523   0.021266   0.018184   0.039451  -0.041666   0.004071  -0.128395   0.014125   0.013940   10.0000     0.1288
    6.500     5.000   0.688617   0.024233   0.018676   0.042909  -0.042897   0.004409  -0.139116   0.014196   0.014022   10.0000     0.1296
    7.000     5.000   0.732712   0.027408   0.019180   0.046588  -0.044160   0.004745  -0.149818   0.014248   0.014083   10.0000     0.1304
    7.500     5.000   0.776805   0.030784   0.019715   0.050499  -0.045476   0.005079  -0.160490   0.014293   0.014134   10.0000     0.1311


