xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-22.0 m/s-VLM2-b10.0°-2.6kg-x0.3m
Freestream speed :  22.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500    10.000  -0.528681   0.020274   0.020268   0.040542  -0.060618  -0.007621   0.147342   0.019880   0.019740   22.0000     0.1484
   -7.000    10.000  -0.485617   0.017840   0.019586   0.037427  -0.059996  -0.007195   0.137030   0.020224   0.020072   22.0000     0.1490
   -6.500    10.000  -0.442578   0.015627   0.018929   0.034556  -0.059521  -0.006757   0.126689   0.020574   0.020411   22.0000     0.1497
   -6.000    10.000  -0.399570   0.013631   0.018307   0.031938  -0.059188  -0.006306   0.116326   0.020931   0.020756   22.0000     0.1507
   -5.500    10.000  -0.356597   0.011850   0.017703   0.029553  -0.058994  -0.005842   0.105948   0.021289   0.021105   22.0000     0.1519
   -5.000    10.000  -0.313662   0.010279   0.017121   0.027400  -0.058936  -0.005365   0.095561   0.021656   0.021460   22.0000     0.1535
   -4.500    10.000  -0.270769   0.008912   0.016496   0.025408  -0.059007  -0.004874   0.085171   0.022022   0.021817   22.0000     0.1557
   -4.000    10.000  -0.227920   0.007742   0.015775   0.023517  -0.059203  -0.004370   0.074785   0.022396   0.022177   22.0000     0.1587
   -3.500    10.000  -0.185116   0.006755   0.015261   0.022015  -0.059518  -0.003853   0.064398   0.022765   0.022538   22.0000     0.1632
   -3.000    10.000  -0.142360   0.005943   0.014733   0.020676  -0.059945  -0.003323   0.054020   0.023138   0.022900   22.0000     0.1705
   -2.500    10.000  -0.099648   0.005353   0.014239   0.019592  -0.060479  -0.002781   0.043650   0.023509   0.023261   22.0000     0.1842
   -2.000    10.000  -0.056959   0.005010   0.013382   0.018392  -0.061115  -0.002226   0.033300   0.023899   0.023621   22.0000     0.2184
   -1.500    10.000  -0.014289   0.004822   0.012245   0.017067  -0.061844  -0.001659   0.022964   0.024262   0.023977   22.0000     0.4563
   -1.000    10.000   0.028353   0.004792   0.011454   0.016246  -0.062669  -0.001081   0.012638   0.024614   0.024331   22.0000    -0.0244
   -0.500    10.000   0.070971   0.004979   0.011181   0.016160  -0.063549  -0.000490   0.002361   0.024943   0.024665   22.0000     0.0730
    0.000    10.000   0.112328   0.005512   0.011086   0.016598  -0.063557   0.000119  -0.002524   0.024883   0.024616   22.0000     0.0852
    0.500    10.000   0.156760   0.005928   0.011183   0.017111  -0.065631   0.000723  -0.018312   0.025594   0.025335   22.0000     0.1080
    1.000    10.000   0.199663   0.006290   0.011346   0.017636  -0.066886   0.001344  -0.028856   0.025943   0.025692   22.0000     0.1145
    1.500    10.000   0.242559   0.006811   0.011545   0.018356  -0.067780   0.001964  -0.039419   0.026071   0.025826   22.0000     0.1187
    2.000    10.000   0.285497   0.007425   0.011761   0.019186  -0.069257   0.002606  -0.049956   0.026423   0.026182   22.0000     0.1217
    2.500    10.000   0.328501   0.008127   0.011975   0.020102  -0.070758   0.003253  -0.060560   0.026720   0.026481   22.0000     0.1239
    3.000    10.000   0.371543   0.008776   0.012176   0.020952  -0.072406   0.003908  -0.071220   0.027018   0.026780   22.0000     0.1257
    3.500    10.000   0.414546   0.009412   0.012377   0.021790  -0.074221   0.004573  -0.081923   0.027338   0.027098   22.0000     0.1272
    4.000    10.000   0.457368   0.011113   0.012567   0.023681  -0.075448   0.005198  -0.092657   0.027302   0.027063   22.0000     0.1285
    4.500    10.000   0.500194   0.014217   0.012792   0.027009  -0.077487   0.005864  -0.103423   0.027567   0.027326   22.0000     0.1296
    5.000    10.000   0.543221   0.017796   0.013068   0.030864  -0.079591   0.006531  -0.114213   0.027790   0.027553   22.0000     0.1305
    5.500    10.000   0.586383   0.021086   0.013409   0.034495  -0.081783   0.007199  -0.125003   0.027987   0.027757   22.0000     0.1313
    6.000    10.000   0.629586   0.024224   0.013787   0.038011  -0.084144   0.007871  -0.135814   0.028184   0.027960   22.0000     0.1321


