xflr5 v6.58

Plane name :        FunCub
Polar name :        T1-5.0 m/s-VLM2-b10.0°
Freestream speed :   5.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    10.000  -0.227879   0.007748   0.027949   0.035697  -0.059197  -0.007807   0.074925   0.022383   0.021870    5.0000     0.1599
   -3.000    10.000  -0.142318   0.005943   0.027109   0.033052  -0.059940  -0.006699   0.059428   0.023258   0.022712    5.0000     0.1721
   -2.000    10.000  -0.056922   0.005009   0.026981   0.031989  -0.061113  -0.005590   0.042231   0.024094   0.023551    5.0000     0.2213
   -1.000    10.000   0.028388   0.004785   0.027057   0.031842  -0.062669  -0.004483   0.023156   0.024924   0.024380    5.0000    -0.0279
    0.000    10.000   0.117328   0.006086   0.027003   0.033089  -0.064180  -0.003402  -0.003397   0.025615   0.025068    5.0000     0.1080
    1.000    10.000   0.199703   0.006296   0.026726   0.033022  -0.066884  -0.002278  -0.021238   0.026548   0.025986    5.0000     0.1145
    2.000    10.000   0.285527   0.007436   0.026251   0.033687  -0.069263  -0.001180  -0.046889   0.027194   0.026614    5.0000     0.1219
    3.000    10.000   0.371572   0.008791   0.025604   0.034395  -0.072425  -0.000105  -0.074776   0.027960   0.027362    5.0000     0.1261
    4.000    10.000   0.457394   0.011155   0.025126   0.036280  -0.075401   0.000943  -0.104788   0.028384   0.027762    5.0000     0.1289
    5.000    10.000   0.543252   0.017821   0.025234   0.043055  -0.079592   0.001963  -0.136704   0.029079   0.028448    5.0000     0.1310


