xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-10.0 m/s-VLM2-b10.0°-2.6kg-x0.3m
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500    10.000  -0.528681   0.020274   0.028051   0.048325  -0.060618  -0.007621   0.147650   0.020003   0.019740   10.0000     0.1484
   -7.000    10.000  -0.485617   0.017840   0.026747   0.044587  -0.059996  -0.007195   0.137374   0.020282   0.020072   10.0000     0.1490
   -6.500    10.000  -0.442578   0.015627   0.025829   0.041456  -0.059521  -0.006757   0.127038   0.020642   0.020411   10.0000     0.1497
   -6.000    10.000  -0.399570   0.013631   0.025021   0.038653  -0.059188  -0.006306   0.116672   0.021007   0.020756   10.0000     0.1507
   -5.500    10.000  -0.356597   0.011850   0.024333   0.036182  -0.058994  -0.005842   0.106287   0.021367   0.021105   10.0000     0.1519
   -5.000    10.000  -0.313662   0.010279   0.023630   0.033909  -0.058936  -0.005365   0.095893   0.021736   0.021460   10.0000     0.1535
   -4.500    10.000  -0.270769   0.008912   0.022965   0.031877  -0.059007  -0.004874   0.085491   0.022107   0.021817   10.0000     0.1557
   -4.000    10.000  -0.227920   0.007742   0.022319   0.030061  -0.059203  -0.004370   0.075087   0.022482   0.022177   10.0000     0.1587
   -3.500    10.000  -0.185116   0.006755   0.021627   0.028381  -0.059518  -0.003853   0.064688   0.022866   0.022538   10.0000     0.1632
   -3.000    10.000  -0.142360   0.005943   0.020855   0.026798  -0.059945  -0.003323   0.054298   0.023250   0.022900   10.0000     0.1705
   -2.500    10.000  -0.099648   0.005353   0.019413   0.024765  -0.060479  -0.002781   0.043931   0.023632   0.023261   10.0000     0.1842
   -2.000    10.000  -0.056959   0.005010   0.017653   0.022664  -0.061115  -0.002226   0.033576   0.024003   0.023621   10.0000     0.2184
   -1.500    10.000  -0.014289   0.004822   0.017344   0.022166  -0.061844  -0.001659   0.023201   0.024363   0.023977   10.0000     0.4563
   -1.000    10.000   0.028353   0.004792   0.017261   0.022054  -0.062669  -0.001081   0.012844   0.024713   0.024331   10.0000    -0.0244
   -0.500    10.000   0.070971   0.004979   0.017310   0.022289  -0.063549  -0.000490   0.002544   0.025050   0.024665   10.0000     0.0730
    0.000    10.000   0.112328   0.005512   0.017338   0.022850  -0.063557   0.000119  -0.002365   0.025003   0.024616   10.0000     0.0852
    0.500    10.000   0.156760   0.005928   0.017408   0.023336  -0.065631   0.000723  -0.018167   0.025728   0.025335   10.0000     0.1080
    1.000    10.000   0.199663   0.006290   0.017425   0.023716  -0.066886   0.001344  -0.028728   0.026091   0.025692   10.0000     0.1145
    1.500    10.000   0.242559   0.006811   0.017415   0.024226  -0.067780   0.001964  -0.039310   0.026232   0.025826   10.0000     0.1187
    2.000    10.000   0.285497   0.007425   0.017400   0.024825  -0.069257   0.002606  -0.049864   0.026596   0.026182   10.0000     0.1217
    2.500    10.000   0.328501   0.008127   0.017315   0.025442  -0.070758   0.003253  -0.060489   0.026908   0.026481   10.0000     0.1239
    3.000    10.000   0.371543   0.008776   0.017220   0.025996  -0.072406   0.003908  -0.071170   0.027219   0.026780   10.0000     0.1257
    3.500    10.000   0.414546   0.009412   0.017184   0.026596  -0.074221   0.004573  -0.081894   0.027543   0.027098   10.0000     0.1272
    4.000    10.000   0.457368   0.011113   0.017232   0.028346  -0.075448   0.005198  -0.092651   0.027507   0.027063   10.0000     0.1285
    4.500    10.000   0.500194   0.014217   0.017409   0.031626  -0.077487   0.005864  -0.103436   0.027767   0.027326   10.0000     0.1296
    5.000    10.000   0.543221   0.017796   0.017707   0.035502  -0.079591   0.006531  -0.114243   0.027984   0.027553   10.0000     0.1305
    5.500    10.000   0.586383   0.021086   0.018117   0.039203  -0.081783   0.007199  -0.125048   0.028176   0.027757   10.0000     0.1313


