xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-10.0 m/s-VLM2
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.500     0.000  -0.694427   0.035604   0.164470   0.200074  -0.000000   0.000000   0.149389   0.000000   0.000000   10.0000     0.1337
   -9.000     0.000  -0.652717   0.031637   0.126698   0.158335  -0.000000   0.000000   0.142661   0.000000   0.000000   10.0000     0.1342
   -8.500     0.000  -0.610852   0.027892   0.056431   0.084323  -0.000000   0.000000   0.136301   0.000000   0.000000   10.0000     0.1348
   -8.000     0.000  -0.568839   0.024373   0.030281   0.054655  -0.000000   0.000000   0.129239   0.000000   0.000000   10.0000     0.1355
   -7.500     0.000  -0.526690   0.021083   0.028326   0.049410  -0.000000   0.000000   0.121803   0.000000   0.000000   10.0000     0.1364
   -7.000     0.000  -0.484412   0.018024   0.027090   0.045114  -0.000000   0.000000   0.114315   0.000000   0.000000   10.0000     0.1374
   -6.500     0.000  -0.442016   0.015199   0.026137   0.041336  -0.000000   0.000000   0.106784   0.000000   0.000000   10.0000     0.1386
   -6.000     0.000  -0.399511   0.012610   0.025294   0.037905  -0.000000   0.000000   0.099214   0.000000   0.000000   10.0000     0.1402
   -5.500     0.000  -0.356906   0.010259   0.024598   0.034857  -0.000000   0.000000   0.091608   0.000000   0.000000   10.0000     0.1421
   -5.000     0.000  -0.314211   0.008149   0.023859   0.032008  -0.000000   0.000000   0.083970   0.000000   0.000000   10.0000     0.1445
   -4.500     0.000  -0.271435   0.006280   0.023156   0.029436  -0.000000   0.000000   0.076302   0.000000   0.000000   10.0000     0.1478
   -4.000     0.000  -0.228588   0.004654   0.022482   0.027136  -0.000000   0.000000   0.068606   0.000000   0.000000   10.0000     0.1523
   -3.500     0.000  -0.185679   0.003273   0.021760   0.025033  -0.000000   0.000000   0.060886   0.000000   0.000000   10.0000     0.1590
   -3.000     0.000  -0.142719   0.002138   0.020961   0.023098  -0.000000   0.000000   0.053144   0.000000   0.000000   10.0000     0.1697
   -2.500     0.000  -0.099717   0.001250   0.019541   0.020791  -0.000000   0.000000   0.045387   0.000000  -0.000000   10.0000     0.1897
