xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-26.0 m/s-VLM2-2.6kg-x0.3m
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.500     0.000  -0.694427   0.035604   0.025612   0.061216  -0.000000   0.000000   0.150343   0.000000   0.000000   26.0000     0.1337
   -9.000     0.000  -0.652717   0.031637   0.021372   0.053008  -0.000000   0.000000   0.143097   0.000000   0.000000   26.0000     0.1342
   -8.500     0.000  -0.610852   0.027892   0.020317   0.048209  -0.000000   0.000000   0.135758   0.000000   0.000000   26.0000     0.1348
   -8.000     0.000  -0.568839   0.024373   0.019495   0.043868  -0.000000   0.000000   0.128373   0.000000   0.000000   26.0000     0.1355
   -7.500     0.000  -0.526690   0.021083   0.018756   0.039839  -0.000000   0.000000   0.120945   0.000000   0.000000   26.0000     0.1364
   -7.000     0.000  -0.484412   0.018024   0.018084   0.036109  -0.000000   0.000000   0.113477   0.000000   0.000000   26.0000     0.1374
   -6.500     0.000  -0.442016   0.015199   0.017509   0.032708  -0.000000   0.000000   0.105971   0.000000   0.000000   26.0000     0.1386
   -6.000     0.000  -0.399511   0.012610   0.016918   0.029529  -0.000000   0.000000   0.098431   0.000000   0.000000   26.0000     0.1402
   -5.500     0.000  -0.356906   0.010259   0.016324   0.026583  -0.000000   0.000000   0.090859   0.000000   0.000000   26.0000     0.1421
   -5.000     0.000  -0.314211   0.008149   0.015751   0.023899  -0.000000   0.000000   0.083257   0.000000   0.000000   26.0000     0.1445
   -4.500     0.000  -0.271435   0.006280   0.015158   0.021437  -0.000000   0.000000   0.075627   0.000000   0.000000   26.0000     0.1478
   -4.000     0.000  -0.228588   0.004654   0.014513   0.019167  -0.000000   0.000000   0.067972   0.000000   0.000000   26.0000     0.1523
   -3.500     0.000  -0.185679   0.003273   0.013951   0.017224  -0.000000   0.000000   0.060293   0.000000   0.000000   26.0000     0.1590
   -3.000     0.000  -0.142719   0.002138   0.013512   0.015649  -0.000000   0.000000   0.052593   0.000000   0.000000   26.0000     0.1697
   -2.500     0.000  -0.099717   0.001250   0.013108   0.014358  -0.000000   0.000000   0.044874   0.000000  -0.000000   26.0000     0.1897
   -2.000     0.000  -0.056683   0.000609   0.012578   0.013187   0.000000   0.000000   0.037140  -0.000000  -0.000000   26.0000     0.2401
   -1.500     0.000  -0.013627   0.000216   0.011790   0.012006   0.000000   0.000000   0.029395  -0.000000  -0.000000   26.0000     0.6091
   -1.000     0.000   0.029442   0.000073   0.010509   0.010582   0.000000  -0.000000   0.021641  -0.000000  -0.000000   26.0000    -0.1016
   -0.500     0.000   0.072515   0.000178   0.010149   0.010327   0.000000  -0.000000   0.013870  -0.000000  -0.000000   26.0000     0.0319
    0.000     0.000   0.115580   0.000532   0.009999   0.010531   0.000000  -0.000000   0.006092  -0.000000  -0.000000   26.0000     0.0660
    0.500     0.000   0.158628   0.001135   0.010004   0.011139   0.000000  -0.000000  -0.001691  -0.000000  -0.000000   26.0000     0.0815
    1.000     0.000   0.201650   0.001986   0.010120   0.012106   0.000000  -0.000000  -0.009477  -0.000000  -0.000000   26.0000     0.0904
    1.500     0.000   0.244635   0.003085   0.010303   0.013388   0.000000  -0.000000  -0.017263  -0.000000  -0.000000   26.0000     0.0962
    2.000     0.000   0.287575   0.004431   0.010513   0.014945   0.000000  -0.000000  -0.025047  -0.000000  -0.000000   26.0000     0.1003
    2.500     0.000   0.330458   0.006024   0.010727   0.016751   0.000000  -0.000000  -0.032826  -0.000000  -0.000000   26.0000     0.1033
    3.000     0.000   0.373276   0.007862   0.010938   0.018800   0.000000  -0.000000  -0.040599  -0.000000  -0.000000   26.0000     0.1057
    3.500     0.000   0.416019   0.009944   0.011148   0.021091   0.000000  -0.000000  -0.048362  -0.000000  -0.000000   26.0000     0.1075
