xflr5 v6.58

Plane name :        FunCub
Polar name :        T1-40.0 m/s-VLM2-b5.0°
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     5.000  -0.233025   0.004158   0.012798   0.016957  -0.027963  -0.003671   0.072695   0.010498   0.010409   40.0000     0.1642
   -3.500     5.000  -0.189146   0.003166   0.012441   0.015607  -0.028210  -0.003412   0.065520   0.010752   0.010658   40.0000     0.1702
   -3.000     5.000  -0.145300   0.002383   0.012119   0.014501  -0.028508  -0.003150   0.057863   0.011003   0.010906   40.0000     0.1799
   -2.500     5.000  -0.101490   0.001833   0.011828   0.013661  -0.028855  -0.002887   0.049729   0.011252   0.011152   40.0000     0.1982
   -2.000     5.000  -0.057717   0.001370   0.011517   0.012887  -0.029250  -0.002622   0.041107   0.011499   0.011395   40.0000     0.2443
   -1.500     5.000  -0.013968   0.001148   0.011042   0.012190  -0.029689  -0.002356   0.031955   0.011751   0.011635   40.0000     0.5799
   -1.000     5.000   0.029745   0.001097   0.010124   0.011221  -0.030172  -0.002089   0.022182   0.011993   0.011870   40.0000    -0.0721
   -0.500     5.000   0.073466   0.001015   0.009538   0.010553  -0.030691  -0.001822   0.011989   0.012218   0.012099   40.0000     0.0521
    0.000     5.000   0.116626  -0.003942   0.009292   0.005350  -0.031277  -0.001448   0.002295   0.012445   0.012333   40.0000     0.0818
    0.500     5.000   0.161063   0.001104   0.009201   0.010305  -0.031871  -0.001286  -0.009714   0.012649   0.012543   40.0000     0.0979
    1.000     5.000   0.204749   0.002678   0.009231   0.011908  -0.032532  -0.001013  -0.021304   0.012859   0.012759   40.0000     0.1063
    1.500     5.000   0.248565   0.003727   0.009345   0.013072  -0.033232  -0.000744  -0.033558   0.013061   0.012966   40.0000     0.1118
    2.000     5.000   0.292411   0.004902   0.009497   0.014399  -0.033945  -0.000475  -0.046387   0.013248   0.013159   40.0000     0.1158
    2.500     5.000   0.336419   0.006272   0.009700   0.015971  -0.034739  -0.000209  -0.059785   0.013437   0.013353   40.0000     0.1187
    3.000     5.000   0.380326   0.007762   0.009935   0.017696  -0.035589   0.000054  -0.073743   0.013622   0.013542   40.0000     0.1211
    3.500     5.000   0.424298   0.009497   0.010176   0.019672  -0.036481   0.000316  -0.088262   0.013797   0.013720   40.0000     0.1231
    4.000     5.000   0.468302   0.011443   0.010419   0.021862  -0.037413   0.000574  -0.103333   0.013960   0.013885   40.0000     0.1247
    4.500     5.000   0.512326   0.013628   0.010665   0.024293  -0.038392   0.000829  -0.118946   0.014114   0.014041   40.0000     0.1260
    5.000     5.000   0.556387   0.016317   0.010920   0.027237  -0.039432   0.001080  -0.135089   0.014265   0.014192   40.0000     0.1272
    5.500     5.000   0.600484   0.018523   0.011183   0.029706  -0.040495   0.001327  -0.151742   0.014407   0.014334   40.0000     0.1283
    6.000     5.000   0.644571   0.021269   0.011454   0.032723  -0.041666   0.001570  -0.168915   0.014550   0.014478   40.0000     0.1293
    6.500     5.000   0.688667   0.024238   0.011730   0.035968  -0.042892   0.001807  -0.186588   0.014679   0.014607   40.0000     0.1301
    7.000     5.000   0.732765   0.027414   0.012010   0.039424  -0.044153   0.002037  -0.204745   0.014791   0.014719   40.0000     0.1309
    7.500     5.000   0.776861   0.030790   0.012304   0.043094  -0.045469   0.002262  -0.223369   0.014895   0.014824   40.0000     0.1317
    8.000     5.000   0.820946   0.034351   0.012613   0.046964  -0.046854   0.002481  -0.242445   0.014998   0.014927   40.0000     0.1323
    8.500     5.000   0.865008   0.038191   0.012920   0.051112  -0.048307   0.002694  -0.261967   0.015100   0.015028   40.0000     0.1330


