xflr5 v6.32

Plane name :        Maja with Body
Polar name :        T1-10.0 m/s-VLM2-b10.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    10.000  -0.097713   0.006747   0.023775   0.030522  -0.052803  -0.014842  -0.013624   0.012453   0.009070   10.0000     0.0308
   -2.000    10.000   0.066994   0.005870   0.019268   0.025138  -0.052449  -0.013682  -0.013712   0.012302   0.008866   10.0000     0.1396
    0.000    10.000   0.231995   0.007079   0.015485   0.022564  -0.050877  -0.012701  -0.019557   0.012019   0.008534   10.0000     0.0924
    2.000    10.000   0.396963   0.008859   0.014624   0.023483  -0.048480  -0.011904  -0.031365   0.011607   0.008059   10.0000     0.0845
    4.000    10.000   0.564945   0.013893   0.014676   0.028569  -0.045109  -0.011331  -0.049619   0.011129   0.007611   10.0000     0.0808
    6.000    10.000   0.731843   0.023286   0.015190   0.038477  -0.039210  -0.010959  -0.073781   0.010526   0.007062   10.0000     0.0788
    8.000    10.000   0.900590   0.034179   0.016772   0.050951  -0.040586  -0.010778  -0.105236   0.011424   0.008025   10.0000     0.0778
   10.000    10.000   1.065737   0.045216   0.019300   0.064516  -0.031118  -0.010837  -0.139617   0.010206   0.006886   10.0000     0.0768


