xflr5 v6.32

Plane name :        Maja with Body
Polar name :        T1-26.0 m/s-VLM2
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.107936   0.002533   0.013840   0.016373  -0.000000  -0.000000  -0.019420   0.000000   0.000000   26.0000     0.0209
   -2.000     0.000   0.062355   0.001543   0.011826   0.013369  -0.000000   0.000000  -0.019471   0.000000   0.000000   26.0000     0.1589
    0.000     0.000   0.232709   0.002737   0.010165   0.012902   0.000000   0.000000  -0.022788   0.000000   0.000000   26.0000     0.0946
    2.000     0.000   0.402460   0.006110   0.008766   0.014876   0.000000   0.000000  -0.029383   0.000000   0.000000   26.0000     0.0846
    4.000     0.000   0.570947   0.011629   0.009029   0.020658   0.000000   0.000000  -0.038820   0.000000   0.000000   26.0000     0.0806
    6.000     0.000   0.737519   0.019235   0.009994   0.029228   0.000000   0.000000  -0.051328   0.000000   0.000000   26.0000     0.0785
    8.000     0.000   0.901540   0.028843   0.011818   0.040661   0.000000   0.000000  -0.066799   0.000000   0.000000   26.0000     0.0774
   10.000     0.000   1.062397   0.040344   0.013633   0.053977   0.000000   0.000000  -0.085410  -0.000000   0.000000   26.0000     0.0767
   12.000     0.000   1.219500   0.053606   0.018271   0.071877   0.000000   0.000000  -0.106261  -0.000000   0.000000   26.0000     0.0765


