xflr5 v6.32

Plane name :        Maja without Body
Polar name :        T1-10.0 m/s-VLM2-b10.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    10.000  -0.132707   0.005867   0.023841   0.029708  -0.050118  -0.009194   0.072106   0.008665   0.008694   10.0000     0.1985
   -2.000    10.000   0.042629   0.004799   0.019880   0.024679  -0.050490  -0.008582   0.046058   0.008446   0.008450   10.0000    -0.1803
    0.000    10.000   0.218626   0.005902   0.015755   0.021657  -0.050066  -0.008031   0.019347   0.008252   0.008215   10.0000     0.0508
    2.000    10.000   0.394637   0.007923   0.015132   0.023055  -0.049295  -0.007539  -0.007644   0.008102   0.007997   10.0000     0.0759
    4.000    10.000   0.573271   0.011681   0.015186   0.026867  -0.047883  -0.007103  -0.034471   0.007920   0.007797   10.0000     0.0851
    6.000    10.000   0.751529   0.022754   0.015760   0.038513  -0.043868  -0.006717  -0.060766   0.007743   0.007623   10.0000     0.0899
    8.000    10.000   0.929137   0.032301   0.017591   0.049893  -0.040278  -0.006380  -0.086087   0.007567   0.007460   10.0000     0.0927
   10.000    10.000   1.108138   0.045250   0.020330   0.065579  -0.035604  -0.006079  -0.110041   0.007457   0.007359   10.0000     0.0943


