xflr5 v6.32

Plane name :        Maja without Body
Polar name :        T1-26.0 m/s-VLM2
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.142223   0.002646   0.014392   0.017038  -0.000000  -0.000000   0.069355   0.000000   0.000000   26.0000     0.1873
   -2.000     0.000   0.039593   0.001444   0.012187   0.013631  -0.000000  -0.000000   0.042925   0.000000   0.000000   26.0000    -0.1853
    0.000     0.000   0.221531   0.002551   0.010432   0.012983   0.000000  -0.000000   0.016368   0.000000   0.000000   26.0000     0.0541
    2.000     0.000   0.402882   0.005965   0.009078   0.015043   0.000000   0.000000  -0.010191  -0.000000  -0.000000   26.0000     0.0776
    4.000     0.000   0.582946   0.011650   0.009388   0.021038   0.000000   0.000000  -0.036627  -0.000000  -0.000000   26.0000     0.0867
    6.000     0.000   0.761031   0.019546   0.010508   0.030055   0.000000   0.000000  -0.062801  -0.000000  -0.000000   26.0000     0.0916
    8.000     0.000   0.936462   0.029565   0.012402   0.041968   0.000000   0.000000  -0.088582  -0.000000  -0.000000   26.0000     0.0949
   10.000     0.000   1.108586   0.041593   0.014345   0.055938   0.000000   0.000000  -0.113849  -0.000000  -0.000000   26.0000     0.0973
   12.000     0.000   1.276776   0.055491   0.021893   0.077384   0.000000   0.000000  -0.138471  -0.000000  -0.000000   26.0000     0.0993


