xflr5 v6.32

Plane name :        Maja without Body
Polar name :        T1-10.0 m/s-VLM2-b15.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    15.000  -0.121696   0.009962   0.023796   0.033759  -0.075046  -0.013668   0.075140   0.012663   0.012740   10.0000     0.2124
   -2.000    15.000   0.046491   0.008954   0.019888   0.028842  -0.075566  -0.012793   0.049405   0.012378   0.012379   10.0000    -0.1718
    0.000    15.000   0.215334   0.010060   0.015890   0.025950  -0.074913  -0.012008   0.023075   0.012100   0.012033   10.0000     0.0464
    2.000    15.000   0.383497   0.011828   0.015173   0.027000  -0.073875  -0.011308  -0.003452   0.011866   0.011712   10.0000     0.0730
    4.000    15.000   0.557563   0.012917   0.015178   0.028094  -0.073165  -0.010688  -0.029757   0.011602   0.011420   10.0000     0.0825
    6.000    15.000   0.729330   0.026334   0.015634   0.041968  -0.065823  -0.010140  -0.055474   0.011351   0.011167   10.0000     0.0876
    8.000    15.000   0.900118   0.035340   0.017169   0.052509  -0.060688  -0.009662  -0.080153   0.011103   0.010932   10.0000     0.0906
   10.000    15.000   1.073765   0.047955   0.019676   0.067631  -0.053759  -0.009234  -0.103454   0.010949   0.010786   10.0000     0.0923


