xflr5 v6.32

Plane name :        Maja without Body
Polar name :        T7-VLM2-EF1(g1)-EF2(g1)

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   27.348     0.000   2.006424   0.197683   0.000000   0.197683   0.000000   0.000000  -0.000000  -0.000000  -0.000000    6.4969     0.0851
   26.183     0.000   2.183732   0.163523   0.000000   0.163523   0.000000   0.000000  -0.000000  -0.000000  -0.000000    6.5951     0.0755
   25.001     0.000   2.113956   0.153091   0.000000   0.153091   0.000000   0.000000  -0.000000  -0.000000  -0.000000    6.7030     0.0751
   23.801     0.000   2.040883   0.142543   0.000000   0.142543   0.000000   0.000000  -0.000000  -0.000000  -0.000000    6.8219     0.0747
   22.585     0.000   1.964476   0.131928   0.000000   0.131928   0.000000   0.000000  -0.000000  -0.000000  -0.000000    6.9533     0.0744
   21.352     0.000   1.884714   0.121301   0.000000   0.121301   0.000000   0.000000  -0.000000  -0.000000  -0.000000    7.0989     0.0741
   20.102     0.000   1.801589   0.110721   0.000000   0.110721   0.000000   0.000000  -0.000000  -0.000000  -0.000000    7.2608     0.0737
   18.837     0.000   1.715114   0.100249   0.000000   0.100249   0.000000   0.000000  -0.000000  -0.000000  -0.000000    7.4416     0.0734
   17.555     0.000   1.625323   0.089951   0.000000   0.089951   0.000000   0.000000  -0.000000  -0.000000  -0.000000    7.6444     0.0731
   16.259     0.000   1.532268   0.079892   0.000000   0.079892   0.000000   0.000000  -0.000000  -0.000000  -0.000000    7.8731     0.0729
   14.948     0.000   1.436025   0.070143   0.000000   0.070143   0.000000   0.000000  -0.000000  -0.000000  -0.000000    8.1326     0.0726
   13.623     0.000   1.336700   0.060773   0.000000   0.060773   0.000000   0.000000  -0.000001  -0.000000  -0.000000    8.4293     0.0724
   12.285     0.000   1.234409   0.051852   0.000000   0.051852   0.000000   0.000000  -0.000000  -0.000000  -0.000000    8.7716     0.0722
   10.935     0.000   1.129309   0.043450   0.000000   0.043450   0.000000   0.000000  -0.000000  -0.000000  -0.000000    9.1706     0.0720
    9.573     0.000   1.021576   0.035634   0.000000   0.035634   0.000000   0.000000  -0.000000  -0.000000  -0.000000    9.6421     0.0718
    8.201     0.000   0.911411   0.028470   0.000000   0.028470   0.000000   0.000000  -0.000000  -0.000000  -0.000000   10.2082     0.0717
    6.820     0.000   0.799040   0.022018   0.000000   0.022018   0.000000   0.000000  -0.000000  -0.000000  -0.000000   10.9023     0.0716
    5.431     0.000   0.684712   0.016335   0.000000   0.016335   0.000000   0.000000  -0.000000  -0.000000  -0.000000   11.7774     0.0715
    4.035     0.000   0.568697   0.011471   0.000000   0.011471   0.000000   0.000000  -0.000001  -0.000000  -0.000000   12.9230     0.0715
    2.633     0.000   0.451272   0.007470   0.000000   0.007470   0.000000   0.000000   0.000000  -0.000000  -0.000000   14.5072     0.0715
    1.226     0.000   0.332750   0.004369   0.000000   0.004369   0.000000   0.000000   0.000000  -0.000000  -0.000000   16.8944     0.0716
   -0.183     0.000   0.213439   0.002194   0.000000   0.002194   0.000000   0.000000   0.000000   0.000000   0.000000   21.0943     0.0717
   -1.594     0.000   0.093658   0.000965   0.000000   0.000965  -0.000000  -0.000000  -0.000000   0.000000   0.000000   31.8441     0.0724


