xflr5 v6.47

Plane name :        plane
Polar name :        T1-10.0 m/s-VLM2
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.448401   0.005384   0.030525   0.035910  -0.000025  -0.000002   0.074022   0.000006   0.000006   10.0000     0.2659
   -7.000     0.000  -0.345378   0.003539   0.026058   0.029597  -0.000025  -0.000002   0.077088   0.000006   0.000006   10.0000     0.2798
   -6.000     0.000  -0.242139   0.002124   0.021136   0.023261  -0.000025  -0.000002   0.078334   0.000005   0.000005   10.0000     0.3056
   -5.000     0.000  -0.138740   0.001145   0.018549   0.019693  -0.000024  -0.000002   0.078937   0.000005   0.000005   10.0000     0.3700
   -4.000     0.000  -0.035233   0.000605   0.018375   0.018981  -0.000024  -0.000002   0.078618   0.000005   0.000005   10.0000     0.8134
   -3.000     0.000   0.068326   0.000509   0.018332   0.018840  -0.000024  -0.000002   0.076591   0.000005   0.000005   10.0000    -0.0874
   -2.000     0.000   0.171883   0.000856   0.018421   0.019277  -0.000024  -0.000002   0.072858   0.000005   0.000005   10.0000     0.0973
   -1.000     0.000   0.275383   0.001649   0.018641   0.020290  -0.000024  -0.000001   0.067421   0.000005   0.000005   10.0000     0.1431
    0.000     0.000   0.378770   0.002885   0.018982   0.021867  -0.000023  -0.000001   0.060286   0.000005   0.000005   10.0000     0.1639
    1.000     0.000   0.481990   0.004562   0.019430   0.023992  -0.000023  -0.000001   0.051452   0.000005   0.000005   10.0000     0.1758
    2.000     0.000   0.584990   0.006677   0.019999   0.026675  -0.000023  -0.000001   0.040942   0.000004   0.000004   10.0000     0.1835
    3.000     0.000   0.687713   0.009223   0.020706   0.029929  -0.000023  -0.000001   0.028772   0.000004   0.000004   10.0000     0.1890
    4.000     0.000   0.790108   0.012196   0.021582   0.033778  -0.000022  -0.000001   0.014975   0.000004   0.000004   10.0000     0.1930
    5.000     0.000   0.892119   0.015586   0.022669   0.038254  -0.000022  -0.000001  -0.000416   0.000004   0.000004   10.0000     0.1962
    6.000     0.000   0.993695   0.019385   0.024036   0.043421  -0.000022  -0.000001  -0.017348   0.000004   0.000004   10.0000     0.1987
    7.000     0.000   1.094782   0.023583   0.025930   0.049513  -0.000021  -0.000001  -0.035701   0.000004   0.000004   10.0000     0.2008
    8.000     0.000   1.195330   0.028167   0.030280   0.058447  -0.000021  -0.000001  -0.054624   0.000003   0.000004   10.0000     0.2026
    9.000     0.000   1.295287   0.033127   0.035948   0.069074  -0.000021  -0.000001  -0.074524   0.000003   0.000003   10.0000     0.2042
   10.000     0.000   1.394603   0.038446   0.044311   0.082757  -0.000020  -0.000001  -0.094847   0.000003   0.000003   10.0000     0.2055


