xflr5 v6.47

Plane name :        plane
Polar name :        T1-10.0 m/s-VLM2.gr.1.0
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.460621   0.004770   0.031201   0.035972  -0.000025  -0.000002   0.079676   0.000006   0.000006   10.0000     0.2683
   -7.000     0.000  -0.354768   0.003178   0.026434   0.029612  -0.000025  -0.000002   0.081461   0.000006   0.000006   10.0000     0.2818
   -6.000     0.000  -0.248713   0.001950   0.021442   0.023391  -0.000025  -0.000002   0.081451   0.000005   0.000005   10.0000     0.3070
   -5.000     0.000  -0.142508   0.001090   0.018558   0.019647  -0.000025  -0.000002   0.080691   0.000005   0.000005   10.0000     0.3697
   -4.000     0.000  -0.036205   0.000601   0.018377   0.018978  -0.000024  -0.000002   0.079068   0.000005   0.000005   10.0000     0.8011
   -3.000     0.000   0.070146   0.000488   0.018332   0.018819  -0.000024  -0.000002   0.075689   0.000005   0.000005   10.0000    -0.0758
   -2.000     0.000   0.176491   0.000750   0.018427   0.019177  -0.000024  -0.000002   0.070553   0.000005   0.000005   10.0000     0.1041
   -1.000     0.000   0.282779   0.001388   0.018659   0.020047  -0.000024  -0.000002   0.063666   0.000005   0.000005   10.0000     0.1487
    0.000     0.000   0.388958   0.002402   0.019017   0.021419  -0.000023  -0.000001   0.055034   0.000005   0.000005   10.0000     0.1690
    1.000     0.000   0.494975   0.003789   0.019488   0.023277  -0.000023  -0.000001   0.044660   0.000005   0.000005   10.0000     0.1806
    2.000     0.000   0.600779   0.005546   0.020086   0.025632  -0.000023  -0.000001   0.032566   0.000004   0.000004   10.0000     0.1881
    3.000     0.000   0.706319   0.007669   0.020835   0.028504  -0.000023  -0.000001   0.018776   0.000004   0.000004   10.0000     0.1934
    4.000     0.000   0.811542   0.010152   0.021765   0.031917  -0.000022  -0.000001   0.003321   0.000004   0.000004   10.0000     0.1973
    5.000     0.000   0.916398   0.012989   0.022931   0.035920  -0.000022  -0.000001  -0.013754   0.000004   0.000004   10.0000     0.2004
    6.000     0.000   1.020837   0.016172   0.024433   0.040605  -0.000022  -0.000001  -0.032387   0.000004   0.000004   10.0000     0.2029
    7.000     0.000   1.124809   0.019692   0.026954   0.046646  -0.000021  -0.000001  -0.052285   0.000004   0.000004   10.0000     0.2049
    8.000     0.000   1.228264   0.023540   0.031970   0.055510  -0.000021  -0.000001  -0.072734   0.000003   0.000003   10.0000     0.2066
    9.000     0.000   1.331153   0.027706   0.038409   0.066115  -0.000020  -0.000001  -0.094183   0.000003   0.000003   10.0000     0.2081
   10.000     0.000   1.433429   0.032176   0.051315   0.083491  -0.000020  -0.000001  -0.114612   0.000003   0.000003   10.0000     0.2094


