xflr5 v6.47

Plane name :        plane
Polar name :        T1-10.0 m/s-VLM2.gr1.5
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.456115   0.004980   0.030948   0.035927  -0.000025  -0.000002   0.076921   0.000006   0.000006   10.0000     0.2670
   -7.000     0.000  -0.351294   0.003302   0.026294   0.029596  -0.000025  -0.000002   0.079331   0.000006   0.000006   10.0000     0.2807
   -6.000     0.000  -0.246266   0.002010   0.021324   0.023333  -0.000025  -0.000002   0.079939   0.000005   0.000005   10.0000     0.3060
   -5.000     0.000  -0.141084   0.001109   0.018554   0.019663  -0.000025  -0.000002   0.079837   0.000005   0.000005   10.0000     0.3694
   -4.000     0.000  -0.035800   0.000603   0.018376   0.018979  -0.000024  -0.000002   0.078849   0.000005   0.000005   10.0000     0.8059
   -3.000     0.000   0.069532   0.000496   0.018332   0.018827  -0.000024  -0.000002   0.076122   0.000005   0.000005   10.0000    -0.0802
   -2.000     0.000   0.174860   0.000787   0.018425   0.019212  -0.000024  -0.000002   0.071659   0.000005   0.000005   10.0000     0.1012
   -1.000     0.000   0.280131   0.001478   0.018653   0.020131  -0.000024  -0.000002   0.065461   0.000005   0.000005   10.0000     0.1463
    0.000     0.000   0.385291   0.002568   0.019005   0.021573  -0.000023  -0.000001   0.057536   0.000005   0.000005   10.0000     0.1667
    1.000     0.000   0.490289   0.004054   0.019468   0.023521  -0.000023  -0.000001   0.047886   0.000005   0.000005   10.0000     0.1784
    2.000     0.000   0.595070   0.005932   0.020056   0.025988  -0.000023  -0.000001   0.036531   0.000004   0.000004   10.0000     0.1860
    3.000     0.000   0.699584   0.008200   0.020790   0.028989  -0.000023  -0.000001   0.023493   0.000004   0.000004   10.0000     0.1913
    4.000     0.000   0.803777   0.010850   0.021701   0.032550  -0.000022  -0.000001   0.008802   0.000004   0.000004   10.0000     0.1953
    5.000     0.000   0.907597   0.013875   0.022836   0.036711  -0.000022  -0.000001  -0.007499   0.000004   0.000004   10.0000     0.1984
    6.000     0.000   1.010995   0.017268   0.024285   0.041554  -0.000022  -0.000001  -0.025354   0.000004   0.000004   10.0000     0.2009
    7.000     0.000   1.113918   0.021020   0.026545   0.047565  -0.000021  -0.000001  -0.044545   0.000004   0.000004   10.0000     0.2030
    8.000     0.000   1.216316   0.025119   0.031338   0.056457  -0.000021  -0.000001  -0.064269   0.000003   0.000003   10.0000     0.2047
    9.000     0.000   1.318141   0.029555   0.037446   0.067002  -0.000021  -0.000001  -0.085012   0.000003   0.000003   10.0000     0.2062
   10.000     0.000   1.419343   0.034315   0.048060   0.082375  -0.000020  -0.000001  -0.105486   0.000003   0.000003   10.0000     0.2075


