xflr5 v6.47

Plane name :        plane
Polar name :        T1-20.0 m/s-VLM2-b10.0°
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000    10.000  -0.437148   0.008263   0.024751   0.033014  -0.051646  -0.014728   0.075825   0.012596   0.012953   20.0000     0.2561
   -7.000    10.000  -0.337194   0.006591   0.021180   0.027770  -0.048503  -0.013752   0.087769   0.012489   0.012769   20.0000     0.2803
   -6.000    10.000  -0.237155   0.005566   0.018154   0.023720  -0.045834  -0.012829   0.096733   0.012352   0.012569   20.0000     0.3214
   -5.000    10.000  -0.137049   0.004001   0.015922   0.019923  -0.043900  -0.011963   0.102691   0.012414   0.012372   20.0000     0.4171
   -4.000    10.000  -0.036870   0.003325   0.015453   0.018778  -0.042332  -0.011145   0.106063   0.012239   0.012146   20.0000     1.0121
   -3.000    10.000   0.063179   0.003144   0.015363   0.018507  -0.041325  -0.010386   0.106361   0.012021   0.011923   20.0000    -0.2644
   -2.000    10.000   0.162939   0.003279   0.015387   0.018666  -0.040779  -0.009679   0.103508   0.011781   0.011678   20.0000     0.0285
   -1.000    10.000   0.262376   0.004062   0.015521   0.019583  -0.040664  -0.009027   0.097483   0.011522   0.011416   20.0000     0.1017
    0.000    10.000   0.361258   0.005122   0.015751   0.020873  -0.041154  -0.008436   0.088273   0.011276   0.011168   20.0000     0.1369
    1.000    10.000   0.459593   0.006750   0.016054   0.022803  -0.042002  -0.007898   0.075896   0.010998   0.010889   20.0000     0.1586
    2.000    10.000   0.557158   0.008748   0.016436   0.025184  -0.043438  -0.007422   0.060366   0.010743   0.010633   20.0000     0.1741
    3.000    10.000   0.653928   0.011194   0.016906   0.028099  -0.045256  -0.007002   0.041723   0.010464   0.010353   20.0000     0.1861
    4.000    10.000   0.749737   0.014092   0.017487   0.031579  -0.047600  -0.006643   0.020024   0.010205   0.010093   20.0000     0.1961
    5.000    10.000   0.844504   0.017380   0.018216   0.035596  -0.050403  -0.006342  -0.004683   0.009945   0.009832   20.0000     0.2048
    6.000    10.000   0.938130   0.021148   0.019169   0.040316  -0.053670  -0.006099  -0.032281   0.009705   0.009585   20.0000     0.2126
    7.000    10.000   1.030559   0.025575   0.020929   0.046504  -0.057370  -0.005915  -0.062404   0.009526   0.009352   20.0000     0.2197
    8.000    10.000   1.124217   0.044390   0.024466   0.068855  -0.059311  -0.005804  -0.094641   0.009357   0.009141   20.0000     0.2260
    9.000    10.000   1.208094   0.037343   0.028881   0.066224  -0.065772  -0.005684  -0.121828   0.009145   0.008951   20.0000     0.2315
   10.000    10.000   1.296103   0.039605   0.035164   0.074768  -0.071332  -0.005733  -0.159746   0.008988   0.008760   20.0000     0.2383


