xflr5 v6.47

Plane name :        plane
Polar name :        T1-20.0 m/s-VLM2-b10.0°.gr.2.5
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000    10.000  -0.441210   0.008085   0.024921   0.033007  -0.051851  -0.014839   0.076468   0.012615   0.012979   20.0000     0.2560
   -7.000    10.000  -0.340277   0.006487   0.021280   0.027768  -0.048651  -0.013845   0.088346   0.012505   0.012791   20.0000     0.2801
   -6.000    10.000  -0.239283   0.005522   0.018219   0.023740  -0.045935  -0.012905   0.097225   0.012366   0.012586   20.0000     0.3210
   -5.000    10.000  -0.138248   0.003985   0.015946   0.019930  -0.043965  -0.012023   0.103046   0.012422   0.012385   20.0000     0.4160
   -4.000    10.000  -0.037165   0.003323   0.015454   0.018778  -0.042369  -0.011191   0.106238   0.012247   0.012154   20.0000     1.0070
   -3.000    10.000   0.063758   0.003136   0.015363   0.018500  -0.041343  -0.010419   0.106321   0.012025   0.011927   20.0000    -0.2600
   -2.000    10.000   0.164361   0.003244   0.015388   0.018632  -0.040787  -0.009699   0.103209   0.011781   0.011677   20.0000     0.0305
   -1.000    10.000   0.264609   0.003980   0.015524   0.019504  -0.040670  -0.009037   0.096884   0.011518   0.011411   20.0000     0.1033
    0.000    10.000   0.364267   0.004968   0.015759   0.020727  -0.041165  -0.008436   0.087335   0.011268   0.011159   20.0000     0.1382
    1.000    10.000   0.463341   0.006503   0.016066   0.022568  -0.042027  -0.007890   0.074579   0.010986   0.010877   20.0000     0.1598
    2.000    10.000   0.561608   0.008385   0.016453   0.024838  -0.043486  -0.007407   0.058636   0.010728   0.010617   20.0000     0.1752
    3.000    10.000   0.659040   0.010689   0.016931   0.027620  -0.045335  -0.006981   0.039548   0.010445   0.010334   20.0000     0.1872
    4.000    10.000   0.755470   0.013422   0.017523   0.030945  -0.047716  -0.006616   0.017374   0.010183   0.010071   20.0000     0.1972
    5.000    10.000   0.850815   0.016520   0.018267   0.034788  -0.050566  -0.006312  -0.007831   0.009921   0.009807   20.0000     0.2059
    6.000    10.000   0.944976   0.020073   0.019254   0.039327  -0.053886  -0.006066  -0.035941   0.009680   0.009559   20.0000     0.2137
    7.000    10.000   1.037896   0.024263   0.021139   0.045402  -0.057648  -0.005881  -0.066550   0.009503   0.009324   20.0000     0.2208
    8.000    10.000   1.132078   0.043196   0.024810   0.068006  -0.059597  -0.005769  -0.099326   0.009328   0.009112   20.0000     0.2271
    9.000    10.000   1.216238   0.035433   0.029329   0.064762  -0.066197  -0.005648  -0.126998   0.009116   0.008922   20.0000     0.2327
   10.000    10.000   1.304629   0.037390   0.035902   0.073291  -0.071843  -0.005698  -0.165379   0.008962   0.008733   20.0000     0.2395


