xflr5 v6.47

Plane name :        plane
Polar name :        T1-30.0 m/s-VLM2.gr.0..5
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.471041   0.004379   0.022579   0.026958  -0.000025  -0.000003   0.081127   0.000006   0.000006   30.0000     0.2710
   -7.000     0.000  -0.362940   0.002947   0.019032   0.021979  -0.000025  -0.000002   0.082331   0.000006   0.000006   30.0000     0.2842
   -6.000     0.000  -0.254645   0.001836   0.016548   0.018385  -0.000025  -0.000002   0.082057   0.000006   0.000006   30.0000     0.3087
   -5.000     0.000  -0.146206   0.001051   0.014196   0.015247  -0.000025  -0.000002   0.080089   0.000005   0.000005   30.0000     0.3696
   -4.000     0.000  -0.037673   0.000594   0.013710   0.014305  -0.000025  -0.000002   0.077023   0.000005   0.000005   30.0000     0.7818
   -3.000     0.000   0.070904   0.000469   0.013624   0.014093  -0.000024  -0.000002   0.072239   0.000005   0.000005   30.0000    -0.0685
   -2.000     0.000   0.179473   0.000675   0.013680   0.014355  -0.000024  -0.000002   0.065648   0.000005   0.000005   30.0000     0.1100
   -1.000     0.000   0.287985   0.001214   0.013825   0.015039  -0.000024  -0.000002   0.057244   0.000005   0.000005   30.0000     0.1539
    0.000     0.000   0.396388   0.002084   0.014053   0.016137  -0.000024  -0.000001   0.047035   0.000005   0.000005   30.0000     0.1738
    1.000     0.000   0.504634   0.003285   0.014349   0.017634  -0.000023  -0.000001   0.035026   0.000005   0.000005   30.0000     0.1852
    2.000     0.000   0.612671   0.004812   0.014720   0.019532  -0.000023  -0.000001   0.021236   0.000004   0.000004   30.0000     0.1926
    3.000     0.000   0.720449   0.006663   0.015181   0.021844  -0.000023  -0.000001   0.005689   0.000004   0.000004   30.0000     0.1978
    4.000     0.000   0.827919   0.008832   0.015756   0.024588  -0.000022  -0.000001  -0.011585   0.000004   0.000004   30.0000     0.2016
    5.000     0.000   0.935031   0.011314   0.016487   0.027801  -0.000022  -0.000001  -0.030548   0.000004   0.000004   30.0000     0.2046
    6.000     0.000   1.041737   0.014101   0.017874   0.031975  -0.000022  -0.000001  -0.050970   0.000004   0.000004   30.0000     0.2070
    7.000     0.000   1.147987   0.017188   0.020791   0.037978  -0.000021  -0.000001  -0.072422   0.000004   0.000004   30.0000     0.2090
    8.000     0.000   1.253734   0.020564   0.024747   0.045311  -0.000021  -0.000001  -0.095062   0.000003   0.000003   30.0000     0.2107
    9.000     0.000   1.358931   0.024220   0.030065   0.054285  -0.000020  -0.000001  -0.118759   0.000003   0.000003   30.0000     0.2121
   10.000     0.000   1.463530   0.028147   0.038577   0.066724  -0.000020  -0.000001  -0.142694   0.000003   0.000003   30.0000     0.2134


